"code","level","title","credits","subject","description"
"BIOC423","starOrDoubleStarCoursesNumbered_300To_499","Introductory Biochemistry",3,"Biochemistry","Introductory course into metabolic reactions within the cell with emphasis on a chemical understanding of the way the cell integrates and controls intermediary metabolism; also included are quantitative problems in pH control, enzyme kinetics and energetics. Should not be taken by students who anticipate majoring in Biochemistry. 

This a starred (*) level course and may be taken for graduate credit by students enrolled in a graduate program. A graduate student enrolled in a starred course numbered below 500 may be required to complete extra work.
"
"BIOC445","upperDivisionUndergraduate","Intensive Introductory Biochemistry I",4,"Biochemistry","An intensive introduction to the physical and chemical properties of proteins and enzymes; enzymatic catalysis; signal transduction; structure, synthesis and processing of nucleic acids. 
"
"BIOC446","upperDivisionUndergraduate","Intensive Introductory Biochemistry II",4,"Biochemistry","An intensive introduction to intermediary metabolism and hormonal control of catabolic and anabolic pathways. 
"
"BIOC448L","upperDivisionUndergraduate","Biochemical Methods",3,"Biochemistry","Biochemical and molecular biology laboratory course including authentic exposure to: cell culture; nucleic acid and protein purification; bioinformatics.
"
"BIOC451","upperDivisionUndergraduate","Physical Biochemistry",3,"Biochemistry","A quantative physical chemical approach to analyzing macromolecular structure and function; electrophoretic and hydrodynamic methods; mass spectrometry; optical and vibrational spectroscopic methods; nuclear magnetic resonance; diffraction methods; and computational techniques. 
"
"BIOC463","upperDivisionUndergraduate","Biochemistry of Disease I",3,"Biochemistry","Four four-week topics, each designed to develop advanced understanding of biochemistry, cell and molecular biology in the context of human health and disease. 
"
"BIOC464","upperDivisionUndergraduate","Biochemistry of Disease II",3,"Biochemistry","Four four-week topics, each designed to develop advanced understanding of biochemistry, cell and molecular biology in the context of human health and disease. 
"
"BIOC495","upperDivisionUndergraduate","Topics in Biochemistry",3,"Biochemistry","This course will build upon knowledge obtained from the Biochemistry core courses designed for undergraduate majors in the Department of Biochemistry and Molecular Biology. Specific topics may vary by semester. 
"
"BIOC497","upperDivisionUndergraduate","Senior Honors Research",3,"Biochemistry","Senior thesis based on independent research."
"BIOC498","upperDivisionUndergraduate","Senior Honors Research",3,"Biochemistry","Senior thesis based on independent research. "
