"course_code","course_title","credits","description"
"LAT 234","LAT 234","3 CRS",""
"LAT 235","LAT 235","3 CRS",""
"LAT 236","LAT 236","3 CRS",""
"LAT 237","LAT 237","3 CRS",""
"LAT 238","LAT 238","3 CRS",""
"LAT 239","LAT 239","3 CRS",""
"LAT 338","LAT 338","3 CRS",""
"LAT 475","LAT 475","3 CRS",""
"HED 100","HED 100","2 CRS",""
"HED 285","HED 285","3 CRS",""
"HSD 108","HSD 108","3 CRS",""
"HSD 110","HSD 110","3 CRS",""
"HSD 190","HSD 190","3 CRS",""
"HSD 195","HSD 195","3 CRS",""
"HSD 201","HSD 201","3 CRS",""
"HSD 202","HSD 202","3 CRS",""
"HSD 210","HSD 210","2 CRS",""
"HSD 211","HSD 211","3 CRS",""
"HSD 215","HSD 215","3 CRS",""
"HSD 220","HSD 220","3 CRS",""
"HSD 225","HSD 225","3 CRS",""
"HSD 230","HSD 230","3 CRS",""
"HSD 235","HSD 235","3 CRS",""
"HSD 240","HSD 240","3 CRS",""
"HSD 250","HSD 250","3 CRS",""
"HSD 255","HSD 255","3 CRS",""
"HSD 260","HSD 260","3 CRS",""
"HSD 270","HSD 270","3 CRS",""
"HSD 275","HSD 275","3 CRS",""
"HSD 276","HSD 276","3 CRS",""
"HSD 280","HSD 280","3 CRS",""
"HSD 290","HSD 290","3 CRS",""
"HSD 295","HSD 295","3 CRS",""
"HSD 296","HSD 296","3 CRS",""
"HSD 301","HSD 301","3 CRS",""
"HSD 302","HSD 302","3 CRS",""
"HSD 310","HSD 310","3 CRS",""
"HSD 340","HSD 340","3 CRS",""
"HSD 341","HSD 341","3 CRS",""
"HSD 476","HSD 476","3 CRS",""
"MAT 008","MAT 008","4 HRS",""
"MAT 012","MAT 012","6 HRS",""
"MAT 014","MAT 014","6 HRS",""
"MAT 041","MAT 041","4 HRS",""
"MAT 051","MAT 051","4 HRS",""
"MAT 056","MAT 056","6 HRS",""
"MAT 056.5","MAT 056.5","7 HRS",""
"MAT 100","MAT 100","4 CRS",""
"MAT 104","MAT 104","3 CRS",""
"MAT 104.5","MAT 104.5","3 CRS",""
"MAT 109","MAT 109","3 CRS",""
"MAT 110","MAT 110","3 CRS",""
"MAT 110.5","MAT 110.5","3 CRS",""
"MAT 111","MAT 111","3 CRS",""
"MAT 125","MAT 125","4 CRS",""
"MAT 150","MAT 150","4 CRS",""
"MAT 150.5","MAT 150.5","4 CRS",""
"MAT 156","MAT 156","3 CRS",""
"MAT 156.5","MAT 156.5","3 CRS",""
"MAT 157","MAT 157","4 CRS",""
"MAT 157.5","MAT 157.5","4 CRS",""
"MAT 160","MAT 160","4 CRS",""
"MAT 161","MAT 161","3 CRS",""
"MAT 161.5","MAT 161.5","3 CRS",""
"MAT 200","MAT 200","4 CRS",""
"MAT 202","MAT 202","3 CRS",""
"MAT 206","MAT 206","4 CRS",""
"MAT 206.5","MAT 206.5","4 CRS",""
"MAT 208","MAT 208","2 CRS",""
"MAT 209","MAT 209","4 CRS",""
"MAT 214","MAT 214","4 CRS",""
"MAT 214.5","MAT 214.5","4 CRS",""
"MAT 216","MAT 216","4 CRS",""
"MAT 300","MAT 300","4 CRS",""
"MAT 301","MAT 301","4 CRS",""
"MAT 302","MAT 302","4 CRS",""
"MAT 303","MAT 303","4 CRS",""
"MAT 310","MAT 310","3 CRS",""
"MAT 315","MAT 315","3 CRS",""
"MAT 320","MAT 320","3 CRS",""
"MAT 402","MAT 402","4 CRS",""
"MAT 409","MAT 409","4 CRS",""
"MAT 415","MAT 415","3 CRS",""
"MAT 420","MAT 420","3 CRS",""
"MAT 470","MAT 470","4 CRS",""
"MAT 501","MAT 501","3 CRS",""
"MAT 505","MAT 505","3 CRS",""
"MAT 601","MAT 601","4 CRS",""
"ANI 260","ANI 260","3 CRS",""
"ANI 301","ANI 301","3 CRS",""
"ANI 360","ANI 360","3 CRS",""
"ANI 401","ANI 401","3 CRS",""
"ANI 402","ANI 402","3 CRS",""
"ANI 411","ANI 411","3 CRS",""
"ANI 412","ANI 412","3 CRS",""
"MEA 111","MEA 111","3 CRS",""
"MEA 201","MEA 201","2 CRS",""
"MEA 211","MEA 211","3 CRS",""
"MEA 300","MEA 300","3 CRS",""
"MEA 371","MEA 371","2 CRS",""
"MES 140","MES 140","3 CRS",""
"MES 152","MES 152","3 CRS",""
