courseId,courseName,courseDescription,courseCredits,courseSubject,courseLevel,courseCampus
DANCE,Accelerated Street Dance,"Studio course facilitating accelerated skills, freestyle movement, and surveying of various street dance and hip hop traditions including breaking, poppin, lockin, and party dances. These skills will be addressed mainly through physical practice in class and includes readings, viewings, listening, and an off-campus community event to understand the cultural context of hip hop dance. Classes will perform tasks and battle in each evaluation, as well as in the final exam.","(2, 2)",,,
DANCE 345,Accelerated Street Dance,"Studio course facilitating accelerated skills, freestyle movement, and surveying of various street dance and hip hop traditions including breaking, poppin, lockin, and party dances. These skills will be addressed mainly through physical practice in class and includes readings, viewings, listening, and an off-campus community event to understand the cultural context of hip hop dance. Classes will perform tasks and battle in each evaluation, as well as in the final exam. \n.","(2, 2)",,,
COMMS 309,Account Planning Mgmt,"Development and execution of comprehensive strategic advertising qualitative research, including data collecting, interpretation, field investigating, audience analysis, and strategy development.","(3, 3)",,,
LAW 612,Accounting for Lawyers,"This course teaches generally accepted accounting principles, practices, and standards. Includes information about accrual accounting and revenue recognition, double-entry record keeping, development of accounting principles and auditing standards, the time value of money, financial statement analysis, and contingencies. Intended for law students who do not have an accounting background. Students who have a substantial background in accounting or who have recently taken an introductory accounting class are ineligible to take or receive credit for this course.","(3, 3)",,,
ACC 515,Accounting Research Seminar,"Professional standards and professional literature of accounting and auditing; related academic research. Research tools, information technologies, and critical analysis emphasized.","(3, 3)",,,
ACC 558,Accounting Technology Hub,"Develop and post technology challenges on TechHub. training, focusing on essential accounting tools such as Excel, Alteryx, and Tableau. Engage in peer mentoring, enhance technical writing, communication skills, and website design for a global audience.","(3, 3)",,,
PHSCS 560,Acoustical Measurement Methods,Acoustics-based data acquisition and signal processing in the time and frequency-domain domains. Use of acoustical measurement standards. Preparation of technical memoranda.,"(3, 3)",,,
G E 106,ACT Math,Not a valid course. Only to be used to apply credits to General Education requirements.,"(3, 3)",,,
TMA 128,Acting 1: BFA or Pre-BFA,"Accelerated fundamental acting skills:  exercises in perception, objective/action, thought processes, scoring of scripts. Lab required.","(3, 3)",,,
TMA 228,Acting 2,Integrating acting skills; building a character through exercises and scene work.,"(3, 3)",,,
TMA 410,Acting Capstone,Participation in a final acting project on the BYU main-stage season.,"(3, 3)",,,
TMA 324,Acting Classics,"Acting skills helpful in classical literature, emphasizing Shakespearean scansion and text analysis.","(3, 3)",,,
TMA 227,Acting Explorations,"Exploration into various Western acting techniques, styles, and practices to provide further acting experiences as part of a liberal arts education.","(3, 3)",,,
TMA 224,Acting for Film & TV,"On-camera techniques for features, sitcoms, industrials, and commercials.","(3, 3)",,,
TMA 123,Acting Fundamentals,"Fundamental acting skills: exercises in perception, objective/action, thought processes, scoring of scripts. Lab required.","(2, 2)",,,
TMA 223,Acting Improvisation,"Discovery of emotion, thought process, and impulse through improvisation.","(2, 2)",,,
TMA 355,Acting Pedagogy,"Students will become perceptive, inquisitive, practical theatre artists and educators by researching, performing, and teaching diverse acting pedagogies. \n.","(2, 2)",,,
TMA 428,Acting Practicum,Acting practicum experience focused on acting performance in theatre or media arts.,"(4, 4)",,,
T ED 698R,Action Research Project,"Developing, observing, gathering, interpreting, and reporting data from action research project. Two project credit hours must be taken during semester of project defense.","(6, 6)",,,
EC EN 541,Act/Pass Filter,"Design methods for electronic filters based on passive components, active components, and integrated circuit components.","(3, 3)",,,
STAT 372,Actuarial Problems,Applying mathematical statistics in actuarial science. Prepares for SOA Exam P.,"(1, 1)",,,
PETE 461,Adapted/Multicultural PE Tchrs,"Legal mandates, assessing and identifying special needs students, multicultural issues, and management and instructional techniques.","(3, 3)",,,
MIL S 320,Adaptive Team Leadership,Adaptive leadership skills; demands of leadership in tactical and garrison situations. Cadets have multiple opportunities to lead one another and receive feedback on leadership abilities. Lab included.,"(4, 4)",,,
SFL 400,Addiction Recovery Healing,"Addiction, recovery, and healing are examined in marriage and family context; beginning preparation for relationship-oriented addiction recovery counseling careers.","(3, 3)",,,
MFT 649,Addictions&Violenc,"Assessment and treatment of multiple-problem family systems, emphasizing addictions and abuse.","(3, 3)",,,
SFL 420,Admin ECE Program,"Strategies for planning and administering quality programs in settings for young children. Budgeting, staffing, accrediting, selecting equipment, etc.","(2, 2)",,,
EXSC 423,Adm of Athletic Training Prog,Management and administration of athletic training facilities and staff members.,"(2, 2)",,,
LAW 602,Administrative Law,"An examination of the administrative process. The course examines why administrative agencies are created, how they obtain information and the uses of that information, what proceedings (rulemaking/adjudication) agencies can commence, and what controls over agency action (political/judicial) exist. The role of the attorney in this process is emphasized.","(3, 3)",,,
SC ED 375,Ad Dev & Class Mgmt,"Analysis of education practice and the relationship between theories and research on development, classroom management, education and the practice of teaching. Focus on adolescent development and an introduction to classroom management.","(3, 3)",,,
SC ED 350,Adolescent Development,"Adolescent development in the context of education. Focus is on the implications for integrated school culture, curriculum design, instructional practices, and assessment.","(2, 2)",,,
SOC 318,Adol Dev Fam & Soc,"Examining developmental and social contexts of adolescents, emphasizing the importance of the family. Other contexts include peers, religion, community, schools, and cross-cultural issues.","(3, 3)",,,
