courseId,courseName,courseDescription,courseCredits,courseSubject,courseLevel,courseCampus
AERO 540,Elements of Rocket Propulsion,"Thrust and impulse equations, propellant composition and mixture ratios, nozzle expansion ratios, solid and liquid propellant combustion, internal ballistics, thermo-chemical computations, chemical kinetics, and combustion instability, nozzle design and exhaust plumes. 4 seminars.","(None, None)",Aerospace Engineering (Aero),,
AERO 541,Air Breathing Propulsion,"Aerothermodynamics of propulsion systems, power plant selection and design, on-off design performance, component characterization, component design, component matching, optimization, and introduction to power plant and airframe integration systems for aircraft. 4 seminars.","(None, None)",Aerospace Engineering (Aero),,
AERO 548,Complexity in Engineered Systems,"Relates systems engineering to complexity in the design and development of modern large engineered systems, with emphasis on aerospace applications. Covers methods currently available to address complexity, including systems thinking, model based systems engineering and life cycle governance.","(None, None)",Aerospace Engineering (Aero),,
AERO 549,Systems Engineering Applications,"Systems engineering principles and methods. Program planning, scheduling and budgeting, risk management, and design strategies to meet system/mission requirements. Quality function development and quality control concepts. Proposal development, evaluation, and selection.","(None, None)",Aerospace Engineering (Aero),,
AERO 553,Advanced Control Theory,"Advanced control theory techniques. Analytical and computational methods applied to dynamic systems. State space system representation, solutions to dynamic systems, non-linear and linear stability analysis, full-state and output feedback, controllability and observability and advanced control topics (LQR/LQG, Kalman Filters, Adaptive Control, etc. ).","(None, None)",Aerospace Engineering (Aero),,
AERO 557,Advanced Orbital Mechanics,"Initial orbit determination using angles only methods. Various Solutions to Lambert's Problem. Orbit and transfer optimization, libration points, halo orbits, and secondary orbit perturbations.","(None, None)",Aerospace Engineering (Aero),,
AERO 560,Advanced Spacecraft Dynamics and Control,"Attitude determination and control of rigid spacecraft via reaction wheels, control moment gyros and thrusters. Modeling, analysis and control of flexible spacecraft. Non-linear stability theory as applied to spacecraft.","(None, None)",Aerospace Engineering (Aero),,
AERO 561,Vehicle Integration and Testing,Space vehicle integration requirements and procedures. Clean room requirements and operations. Quality control and inspection. Qualification and acceptance testing requirements. Test equipment. Vibration and shock testing. Space environment and thermal-vac testing. Development of test procedures.,"(None, None)",Aerospace Engineering (Aero),,
AERO 562,Space Operations,Launch operations and vehicle integration with launch vehicle. In-orbit operations and maneuvers. Spacecraft tracking. Telemetry and command. Ground systems. Failure detection and identification. Emergency operations.,"(None, None)",Aerospace Engineering (Aero),,
AERO 565,Advanced Topics in Aircraft Design,Application of advanced analytic engineering methods to aircraft design problems. Analysis and synthesis of advanced topics related to design of aircraft.,"(None, None)",Aerospace Engineering (Aero),,
AERO 566,Advanced Topics in Spacecraft Design,Application of advanced engineering tools to the design of space vehicles. System architecture and mission design. Concept of operations. Requirements development and flow down. System and subsystems trade studies and preliminary design.,"(None, None)",Aerospace Engineering (Aero),,
AERO 568,Aerodynamic Research and Development I,"Immersive team-based approach to an aerodynamic research and development cycle. Theoretical work, preliminary design based upon computational fluid dynamics, and model manufacture. Advanced techniques in multi-variable wind tunnel tests. Validation of numerical work using correlation techniques. Field trip may be required. Total credit limited to 8 units.","(None, None)",Aerospace Engineering (Aero),,
AERO 569,Aerodynamic Research and Development II,"Continuation ofAERO 568. Single or multi-variable design optimization cycle based upon computational fluid dynamics. Numerical and experimental experimentation, high-fidelity validation and correlation of testing data, and archival-quality technical reporting of aerodynamic data and analysis. Total credit limited to 8 units.","(None, None)",Aerospace Engineering (Aero),,
AERO 570,Selected Advanced Topics,Directed group study of selected topics for graduate students. Open to undergraduate and graduate students. The Class Schedule will list topic selected. Total credit limited to 8 units.,"(None, None)",Aerospace Engineering (Aero),,
AERO 571,Selected Advanced Topics Laboratory,Open to undergraduate and graduate students. The Class Schedule will list topic selected. Total credit limited to 8 units.,"(1, 4)",Aerospace Engineering (Aero),,
AERO 593,Cooperative Education Experience,"Advanced study analysis and part-time work experience in student's career field; current innovations, practices, and problems in administration, supervision, and organization of business, industry, and government. Must have demonstrated ability to do independent work and research in career field. Credit/No Credit grading only.","(None, None)",Aerospace Engineering (Aero),,
AERO 594,Cooperative Education Experience,"Advanced study analysis and full-time work experience in student's career field; current innovations, practices, and problems in administration, supervision, and organization of business, industry, and government. Must have demonstrated ability to do independent work and research in career field. Credit/No Credit grading only.","(None, None)",Aerospace Engineering (Aero),,
AERO 595,Cooperative Education Experience,"Advanced study analysis and full-time work experience in student's career field; current innovations, practices, and problems in administration, supervision, and organization of business, industry, and government. Must have demonstrated ability to do independent work and research in career field. A fully-developed formal report and evaluation by work supervisor required. Credit/No Credit grading only.","(None, None)",Aerospace Engineering (Aero),,
AERO 599,Thesis (Design Project),"Each individual or group will be assigned a project for solution under faculty supervision as a requirement for the master's degree, culminating in a written report/thesis.","(1, 9)",Aerospace Engineering (Aero),,
AGB 101,Introduction to Agribusiness,"Orientation to the agribusiness sector of agriculture. An overview of the breadth, size, scope and management aspects of the agricultural business complex. Agribusiness students are required to complete this within the first year of the major.","(None, None)",Agribusiness (Agb),,
AGB 200,Special Problems for Undergraduates,"Individual investigation, research, studies, or surveys of selected problems. Total credit limited to 4 units, with a maximum of 2 units per quarter. Credit can only be used to satisfy free electives. Credit/No Credit grading only.","(1, 2)",Agribusiness (Agb),,
AGB 202,Introduction to Sales,"Development of professional business-to-business selling principles within the supply chain, including an introduction to understanding the sales process from different buying and selling perspectives, communication techniques, and basic sales competency.","(None, None)",Agribusiness (Agb),,
AGB 212,Agricultural Economics,Theoretical development of factors affecting demand and supply for food and fiber and for agricultural inputs. Methods of selecting optimal levels of agricultural production and consumption variables. Evaluation of market structure and price formulation for agricultural products and resources. Course may be offered in classroom-based or online format.,"(None, None)",Agribusiness (Agb),,
AGB 214,Agribusiness Financial Accounting,"Principles of financial accounting for the agriculture and food industry. Introduction of basic concepts and standards underlying financial accounting systems. Emphasizes the construction of the financial accounting statements and the impact of business transactions on information presented to interested stakeholders. Course may be offered in classroom-based, online, or hybrid format.","(None, None)",Agribusiness (Agb),,
AGB 260,Agribusiness Data Literacy,"Using data and analysis in making decisions related to agribusiness. Developing basic and intermediate spreadsheet skills necessary to organize, analyze, and summarize information. Development of data management and analysis as tools to assist in agribusiness problem-solving. Course may be offered in classroom-based, online, or hybrid format.","(None, None)",Agribusiness (Agb),,
AGB 270,Selected Topics,Directed group study of selected topics. The Class Schedule will list topic selected. Total credit limited to 8 units.,"(1, 4)",Agribusiness (Agb),,
AGB 301,Food and Fiber Marketing,"Food and fiber marketing, examining commodity, industrial, and consumer product marketing from a managerial viewpoint. A global perspective in understanding consumer needs and developing the knowledge of economic, political, social and environmental factors that affect food and fiber marketing systems. Course may be offered in classroom-based, online, or hybrid format.","(None, None)",Agribusiness (Agb),,
AGB 304,Innovation and Entrepreneurship in Agriculture,"Innovation and entrepreneurship with application to the Food and Agriculture sector. Identification of opportunities, value proposition, Business Model Canvas (BMC), product market fit and market sizing, minimum viable product, and identification of target market consumers. Field trip may be required. Course may be offered in classroom-based, online, or hybrid format.","(None, None)",Agribusiness (Agb),,
AGB 308,Introduction to Agribusiness Finance,"Concepts and analytical methods related to agricultural finance. Focus on applied spreadsheet analysis of financial statements, time value of money, risk and return, portfolio theory, and capital budgeting within the context of financial institutions specific to agriculture. Course may be offered in classroom-based, online, or hybrid format.","(None, None)",Agribusiness (Agb),,
AGB 309,Advanced Sales Techniques,"Expansion of basic sales principles and skills, focusing on prospecting, sales styles, pipelining, forecasting, and product planning.","(None, None)",Agribusiness (Agb),,
AGB 310,Agribusiness Credit and Finance,Financing California's agricultural industry. Sources of credit and types of loans used by agribusinesses. Costs of credit. Financial analysis of agricultural borrowers. Future and present value techniques used in evaluating agricultural investments. Agricultural financial management. Financial capital markets and leasing. Not open to Agricultural Business majors.,"(None, None)",Agribusiness (Agb),,
