"code","level","title","credits","college","description"
"OC TH7132","Graduate Semester","Academic & Clinical Teaching in Occupational Therapy",3,"HE - College of Health","This course will focus on the development of teaching and learning skills applicable across a variety of settings.  Principles of adult learning theory will be explored in detail as they relate to academic and clinical education.  Students will learn the process of instructional design including developing course objectives, assessment instruments an grading criteria.  Students will develop teaching skills appropriate for varying audiences (student, peers, clients) and the type of setting (academic, clinical, and professional conferences/workshops).  Mechanisms to enhance both presentations and delivery of material will be emphasized, along with learning different formats using advanced technology.  Opportunities to receive and provide feedback to others will be provided."
"ED PS6380","Graduate Semester","Academic Assessment and Interventions for Students with Learning Difficulties",3,"ED - College of Education","The focus on this course will be on the understanding of how to apply empirically validate interventions to address academic and learning difficulties. Participants will be exposed to a variety of strategies and methods for intervening with achievement and learning problems in the schools. Areas of focus include reading, written language, mathematics, organizational and study skills, ELL learners, and content area curricula. Students enrolled in ED PS 7380 will be held to a higher standard and may be assigned additional coursework."
"ED PS7380","Graduate Semester","Academic Assessment and Interventions for Students with Learning Difficulties",3,"ED - College of Education","The focus on this course will be on the understanding of how to apply empirically validate interventions to address academic and learning difficulties. Participants will be exposed to a variety of strategies and methods for intervening with achievement and learning problems in the schools. Areas of focus include reading, written language, mathematics, organizational and study skills, ELL learners, and content area curricula. Students enrolled in ED PS 7380 will be held to a higher standard and may be assigned additional coursework."
"EAS1700","Undergraduate Semester","Academic EAS Through History",3,"HU - College of Humanities","Content-based EAS course focusing on integrating language, content, and learning strategies in the acquisition of academic English. Uses content in American history and civilization as the basis for developing academic language skills. The course will provide opportunities for students to be exposed to topics in history in a variety of ways - working with introductory text and materials in history, attending History 1700 lectures, viewing video tapes of actual lectures in History 1700, listening to guest speakers on topics in history, viewing lectures and listening to audio tapes on topics in history from commercially available materials, participating in discussions on topics in history with their classroom peers and EAS instructor, and completing written assignments in response to the text."
"EAS1200","Undergraduate Semester","Academic EAS Through Linguistics",3,"HU - College of Humanities","Content-based EAS course focusing on integrating language, content, and learning strategies in the acquisition of academic English. Uses text about linguistics and language as the basis for developing academic language skills. Provides opportunities for students to be exposed to topics in language and linguistics in a variety of ways - working with text and materials about language topics, attending LING 1200 lectures, viewing video tapes of actual lectures in LING 1200, listening to guest speakers on topics in linguistics and language, viewing lectures and listening to audio tapes on topics in linguistics and language from commercially available materials, participating in discussions on topics in linguistics and language with their classroom peers and ESL instructor, and completing written assignments in response to the text being used."
"EAS1010","Undergraduate Semester","Academic EAS Through Psychology",3,"HU - College of Humanities","Content-based EAS course focusing on integrating language, content, and learning strategies in the acquisition of academic English. Uses content about psychology as the basis for developing academic language skills. Provides opportunities for students to be exposed to topics in psychology in a variety of ways - working with introductory psychology text and materials, attending Psychology 1010 lectures, viewing video tapes of actual lectures in Psychology 1010, listening to guest speakers on topics in Psychology, viewing lectures and listening to audio tapes on topics in psychology from commercially available materials, participating in discussions on topics in psychology with their classroom peers and EAS instructor, and completing written assignments in response to the text."
"DENT6802","Graduate Semester","Academic Foundations for PRE-CAP I",2,"DN - School of Dentistry","Composition and properties of the materials used in restorative dentistry. Basic information on the design of preparatory work necessary for the teeth incident to the reception of these materials. This course is limited to PRECAP students."
"DENT6804","Graduate Semester","Academic Foundations for PRE-CAP II",2,"DN - School of Dentistry","This course will explore how providing dental care to tribal, rural, and medically underserved populations can be uniquely challenging through the lens of public health and social determinants. Cultural humility and its applicability to dentistry will be discussed. This course is limited to PRECAP students."
"DENT6806","Graduate Semester","Academic Foundations for PRE-CAPIII",2,"DN - School of Dentistry","This course will explore how providing dental care to tribal, rural, and medically underserved populations can be uniquely challenging through the lens of public health and social determinants. Educational excellence in medical education will be discussed as a method of success in practice. This course is limited to PRECAP students."
"ME EN2800","Undergraduate Semester","Academic Skills for Mechanical Engineering","0.5 - 1","EN - J & M Price College of Eng.","A seminar-style course designed to help continuing Mechanical Engineering students develop skills for a successful college experience. Topics include time management, exam preparation, study skills, campus resources, goal setting and motivation."
"POLS5499","Undergraduate Semester","ACCAP Scholars Research Experience",3,"SB - Coll of Soc & Behavioral Sci","The University of Utah has been selected as one of six Academic Centers of Conflict Anticipation & Prevention (ACCAP) through the State Department’s Bureau of Conflict and Stabilization Operations (CSO). According to CSO, the intent of ACCAP is to “establish a diverse national cadre of academic institutions and experts to supplement and expand the Bureau’s ability to anticipate and prevent conflict.” The course will be reserved for 10-20 upper-division students who will apply in the Fall term for the following Spring semester research experience. Student's research will contribute directly to CSO’s data collection and analytic tools on key conflict-related priorities. Through access to CSO’s tools and data, students can add to their thesis, submit their research to RANGE, an undergraduate research journal at the University of Utah, for publication, and present their findings at CSBS and UROP Conference. CSO is also interested in “organize[ing] local conferences and symposia around topics of great interest to the Department.” Finally, establishing a working relationship with CSO officers will create internship and job opportunities for our students; according to CSO, ACCAP scholars “are more likely to be exposed to relevant job placement opportunities across the bureau.” There are a number of benefits to ACCAP Scholars. They will: (1). learn about data collection and data use, including to help build CSO’s data sets and tools through research, and with a focus on CSO’s identified list of topics to address key conflict-related priorities, (2). meet and engage CSO officers, staffers and planners through Zoom or in Washington DC, and participate directly in the development of US policy objectives, and (3). gain awareness of career options in data/policy analysis and job opportunities in the State Department, and more generally, in the federal government."
"CHIN1120","Undergraduate Semester","Accelerated Beginning Chinese",4,"HU - College of Humanities","Combines courses 1010 and 1020 of the language into one semester. Continued intensive focus on development of listening and reading strategies with an emphasis on oral and written forms of communication."
"FRNCH1110","Undergraduate Semester","Accelerated Beginning French",4,"HU - College of Humanities","For students with previous French classroom experience, but otherwise the same as FRNCH 1010. After 1110, students complete the first year by taking FRNCH 1020."
"GERM1120","Undergraduate Semester","Accelerated Beginning German",4,"HU - College of Humanities","Combines GERM 1010 and 1020 into one semester. Open but not restricted to students with previous German classroom experience who will be able to move through material quickly especially early in the semester."
"HINDI1120","Undergraduate Semester","Accelerated Beginning Hindi-Urdu",4,"HU - College of Humanities","Combines courses 1010 and 1020 of the language into one semester. Continued intensive focus on development of listening and reading strategies with an emphasis on oral and written forms of communication."
"ITAL1120","Undergraduate Semester","Accelerated Beginning Italian",4,"HU - College of Humanities","Combines courses 1010 and 1020 of the language into one semester. Intensive focus on development of listening and reading strategies with an emphasis on oral and written forms of communication."
