"course_code","course_title","department","credits","description","level"
"ACC 545","ADVANCED TOPICS IN ACCOUNTING THEORY","Accountancy (ACC)","4 quarter hours","This course is designed to provide comprehensive coverage of the following: consolidations, partnership accounting, foreign operations and not-for-profit accounting. Coverage of the topics emphasizes both theory and practice.  Mastery of the material is obtained through problem-solving situations. ACC 543is a prerequisite for this class. ","(Graduate)"
"ACC 547","AUDITING I","Accountancy (ACC)","4 quarter hours","Auditing I provides a conceptual introduction to the nature and value of financial statement audits. The course emphasizes the professional skepticism required of auditors in a changing ethical and legal environment including the Professional Ethics Rules and U.S. Securities laws. The course focuses on Generally Accepted Auditing Standards (GAAS) that address engagement planning and execution including systems of internal control, audit procedures, evidence, and reporting. ACC 500orACC 502or equivalent, is a prerequisite for this course. ","(Graduate)"
"ACC 548","TAX TREATMENT OF INDIVIDUALS AND PROPERTY TRANSACTIONS","Accountancy (ACC)","4 quarter hours","This course provides detailed coverage of the federal income tax treatment of individual taxpayers.  It includes coverage of inclusions, exclusions, deductions, credits, rates of taxation, special tax computations and the tax aspects of property transactions.  It also includes tax research. ACC 500is a prerequisite for this class. ","(Graduate)"
"ACC 550","AUDITING II","Accountancy (ACC)","4 quarter hours","Auditing II is a sequel to Auditing I (ACC 547). Auditing II builds upon the understanding and application of the Generally Accepted Auditing Standards (GAAS) Standards of Fieldwork to both analyze and evaluate audit procedures chosen and evidence obtained regarding classes of transactions and account balances. The course highlights common tools and techniques for planning and conducting audits including the use of sampling and data analysis when performing tests of controls and substantive tests. ACC 547is a prerequisite for this class. ","(Graduate)"
"ACC 551","TAX TREATMENT OF CORPORATIONS AND PARTNERSHIPS","Accountancy (ACC)","4 quarter hours","This course covers the federal income tax treatment of corporations and partnerships.  It includes ethics in tax practice and an exposure to estate and gift taxation. ACC 548is a prerequisite for this class. ","(Graduate)"
"ACC 552","BUSINESS LAW FOR ACCOUNTANTS","Accountancy (ACC)","4 quarter hours","This course covers the aspects of the legal environment of special concern to accounting practitioners, including: the ethical standards of accounting  practice, legal liability of accountants, contract law, property law, tort law, commercial paper, the laws of agency, sales laws, banking, agency, partnerships, corporations, trusts and wills, suretyships, secured transactions, bankruptcy, employment law, securities regulation, antitrust, and public regulation and disclosure laws.  Formerly ""Legal and Ethical Environment of Accounting Practice"". Not Available to MST Students ","(Graduate)"
"ACC 553","SUSTAINABILITY ACCOUNTING AND REPORTING","Accountancy (ACC)","4 quarter hours","This course provides an overview of sustainability accounting principles and practices, with a focus on their application in business contexts. Students will integrate environmental, social, and governance (ESG) factors into traditional accounting frameworks. The course emphasizes the Global Reporting Initiative (GRI) Standards and Sustainable Accounting Standards Board (SASB) Standards as a key framework for sustainability reporting, alongside other relevant standards and methodologies. ","(Graduate)"
"ACC 558","TAX RESEARCH","Accountancy (ACC)","4 quarter hours","This course examines sources of tax law used during a tax research project by making use of the Internal Revenue Code, Treasury Regulations, Treasury Rulings and Administrative Pronouncements, Judicial Decisions, and other sources.  Students examine the weight of authority of each source of tax law and the structure of databases used by tax professionals to build a conclusion to the tax issue being researched. ACC 548is a prerequisite for this class. ","(Graduate)"
"ACC 560","TAXATION OF CORPORATIONS AND SHAREHOLDERS","Accountancy (ACC)","4 quarter hours","Study of federal income taxation of corporations and shareholders with emphasis on transactions between the corporation and its shareholders. Topics include corporate formations, nonliquidating distributions to shareholders, stock redemptions, and corporate liquidations. NOTE: This is a M.S.T. course. ACC 558is a prerequisite for this class. ","(Graduate)"
"ACC 561","CORPORATE REORGANIZATIONS","Accountancy (ACC)","4 quarter hours","Federal income tax implications of transfers of stock, securities and property in connection with corporate acquisitions, combinations and separations. This course is mainly concerned with the tax consequences to corporate parties, to reorganizations and to their shareholders.  Emphasis is given to determining the taxability of transactions and asserting the availability of tax attributes to successors in interest.  NOTE: This is a M.S.T. course. ACC 560is a prerequisite for this class. ","(Graduate)"
"ACC 563","PARTNERSHIPS","Accountancy (ACC)","4 quarter hours","An in-depth analysis of the federal income tax rules governing partners and partnerships. This course will take the student through the life cycle of a partnership that includes the formation of a partnership, allocation of operations, and liquidation. Some of the topics covered include the study of the aggregate and entity theories, application and importance of IRC 704(b) & 704(c), as well as the allocation of liabilities to partners. NOTE: This is a M.S.T. course. ACC 551andACC 558are prerequisites for this class. ","(Graduate)"
"ACC 564","TRANSACTIONS IN PROPERTY","Accountancy (ACC)","4 quarter hours","This course is concerned mainly with the federal income tax implications of gains and losses derived from sales and other dispositions of property. Emphasis will be given to the determination and recognition of gain or loss, character of gain or loss (capital or ordinary), basis and holding period. NOTE: This is a M.S.T. course. ACC 551is a prerequisite for this class. ","(Graduate)"
"ACC 565","TAX ACCOUNTING, PERIODS, AND METHODS","Accountancy (ACC)","4 quarter hours","This course deals with federal income tax planning as to determination of the proper periods for reporting income and deductions, overall methods of tax accounting and special elections available to taxpayers.  Topics include the installment method, accounting method changes, accrual method, cash method, FIFO, LIFO and accounting periods. NOTE: This is a M.S.T. course. ACC 551is a prerequisite for this class. ","(Graduate)"
"ACC 566","FEDERAL INCOME TAX PROCEDURES","Accountancy (ACC)","4 quarter hours","A study of the procedures which must be followed when dealing with the Internal Revenue Service and possible alternative courses of action.  Included are such topics as the organization of the Internal Revenue Service, filing requirements, refund claims, closing agreements, examination procedures, protests, assessment, payment and collection of tax, statute of limitations, interest and penalties. NOTE: This is a M.S.T. course. ACC 551is a prerequisite for this class. ","(Graduate)"
