"course_code","course_title","department","credits","description","level"
"TCH 382","TEACHING HISTORY AND THE SOCIAL SCIENCES IN THE MIDDLE GRADES AND HIGH SCHOOL 2","TEACH Program (TCH)","4 quarter hours","This course continues students' immersion into the pedagogical content knowledge development and practices that began inTCH 322andTCH 372. The course provides students opportunities to continue to explore and develop research-based and theoretically grounded best practices in the teaching of the basic concepts of the seven social science disciplines with an emphasis on reflective and collaborative practice. The course provides extensive opportunities for planning, using, and evaluating a variety of instructional strategies, including the use of technology resources, through teaching demonstrations and modeling and field experiences. Students will fine-tune and reflect on writing instructional objectives, developing lesson plans, designing a curriculum unit, creating a classroom environment, and implementing instructional delivery strategies and methods that meet the needs of diverse learners, including English language learners and students who speak nonmainstream dialects of English. And like inTCH 372, students will reflect on and clearly articulate orally, in writing, and through practice an educational philosophy and theory. Students will also demonstrate commitment to teaching as a professional who acts responsibly, ethically, and collegially in accordance to Vincentian personalism. 25 Level 2 Field Experience hours required. Whenever possible, Field Experience hours should be completed in student teaching placement. Offered during Winter term. (TCH 372orSEC 372) is a prerequisite for this class. This class is taken concurrently withTCH 380. ","(Undergraduate)"
"TCH 383","TEACHING MATHEMATICS IN THE MIDDLE GRADES AND HIGH SCHOOL 2","TEACH Program (TCH)","4 quarter hours","This course continues students' immersion into the pedagogical content knowledge development and practices that began inTCH 323andTCH 373. The course provides students opportunities to continue to explore and develop research-based and theoretically grounded best practices in the teaching of mathematics in all its representations with an emphasis on reflective and collaborative practice. The course provides extensive opportunities for planning, using, and evaluating a variety of instructional strategies, including the use of technology resources, through teaching demonstrations and modeling and field experiences. Students will fine-tune and reflect on writing instructional objectives, developing lesson plans, designing a curriculum unit, creating a classroom environment, and implementing instructional delivery strategies and methods that meet the needs of diverse learners, including English language learners and students who speak nonmainstream dialects of English. And like inTCH 373, students will reflect on and clearly articulate orally, in writing, and through practice an educational philosophy and theory. Students will also demonstrate commitment to teaching as a professional who acts responsibly, ethically, and collegially in accordance to Vincentian personalism. 25 Level 2 Field Experience hours required. Whenever possible, Field Experience hours should be completed in student teaching placement. Offered during Winter term. (TCH 373orSEC 373) is a prerequisite for this class. This class is taken concurrently withTCH 380. ","(Undergraduate)"
"TCH 385","TEACHING THE SCIENCES IN THE MIDDLE GRADES AND HIGH SCHOOL 2","TEACH Program (TCH)","4 quarter hours","This course continues students' immersion into the pedagogical content knowledge development and practices that began inTCH 324andTCH 374. The course provides students opportunities to continue to explore and develop research-based and theoretically grounded best practices in the teaching of the different sciences, including biology, chemistry, environmental science, and physics with an emphasis on reflective and collaborative practice. The course provides extensive opportunities for planning, using, and evaluating a variety of instructional strategies, including the use of technology resources, through teaching demonstrations and modeling and field experiences. Students will fine-tune and reflect on writing instructional objectives, developing lesson plans, designing a curriculum unit, creating a classroom environment, and implementing instructional delivery strategies and methods that meet the needs of diverse learners, including English language learners and students who speak nonmainstream dialects of English. And like inTCH 374, students will reflect on and clearly articulate orally, in writing, and through practice an educational philosophy and theory. Students will also demonstrate commitment to teaching as a professional who acts responsibly, ethically, and collegially in accordance to Vincentian personalism. 25 Level 2 Field Experience hours required. Whenever possible, Field Experience hours should be completed in student teaching placement. Offered during Winter term. (TCH 374orSEC 374) is a prerequisite for this class. This class is taken concurrently withTCH 380. ","(Undergraduate)"
"TCH 387","CAPSTONE SEMINAR IN SECONDARY EDUCATION","TEACH Program (TCH)","2 quarter hours","This course is designed to help candidates integrate the central emphases of their Liberal Studies curriculum with their professional knowledge and behavior. It provides opportunities and activities to prospective educators that engage them in being analytic and reflective upon their major and related disciplines; guide them in further considering their value commitments and how they relate to their chosen profession; apply critical and creative thinking in addressing 'real-time' professional issues and needs; and examine extant practices from multicultural perspectives. Candidates develop a professional teaching portfolio that reflects the standards of the various guiding professional organizations and the Illinois State Board of Education (ISBE). The course is grounded in the College of Education's framework for an Urban Professional Multicultural Educator as well as the goals of the Liberal Studies program. The course is taken simultaneously with student teaching.  COREQUISITE(S):SEC 390. (2 credit hours) ","(Undergraduate)"
"TCH 390","CAPSTONE: INTEGRATING EDUCATION & DISCIPLINARY FOUNDATIONS","TEACH Program (TCH)","4 quarter hours","This course is designed to help students conceptualize issues and opportunities in teaching their disciplinary content to diverse students and in different classroom contexts.  In this course, students will analyze and reflect on how teaching in their disciplines is informed by diverse cultures of schooling and youth, including the influences of economic, social, cultural, political, gender, and religious factors on schooling, educational policy and opportunity. Students will use disciplinary content to critically and creatively reflect on the teaching of that content in secondary schools.  Students will be introduced to issues and ways of presenting essential disciplinary content in ways that engage diverse learners, including learners who have not been served well by formal education. Students will also develop a theory of teaching that emphasizes the intersection of disciplinary content with multicultural perspectives. Offered during Spring term only. ","(Undergraduate)"
"TCH 392","MIDDLE GRADES AND SECONDARY STUDENT TEACHING","TEACH Program (TCH)","10 quarter hours","This course is the culminating experience for Middle Grades and Secondary Education Program students and requires 11 weeks of onsite student teaching in a middle school or high school content area classroom. The course requires students to be in the school full-time, participating in both in-class instruction and extra-curricular activities related to the school. Student teaching application and approval required. (10 credit hours) ","(Undergraduate)"
"TCH 395","ASSESSMENT PRACTICES IN THE MIDDLE GRADES AND SECONDARY EDUCATION","TEACH Program (TCH)","4 quarter hours","This course introduces candidates to theoretical and philosophical issues related to educational assessment. It addresses the range of assessments teachers will encounter in school settings, including individual cognitive and social and emotional assessments; course material, curricula, and disciplinary program assessments; and large scale high-stakes testing. The course provides candidates opportunities to explore student, program, and curricular assessment issues, including assessment methods and tools; standardized, quantitative, and qualitative assessments; formal and informal assessments; formative and summative assessments; integrated, self-, and peer assessments; cultural, social, economic, and language influences on assessments; and issues of reliability and validity in assessment. This class is taken concurrently with (TCH 371orTCH 372orTCH 373orTCH 374) OR (TCH 381orTCH 382orTCH 383orTCH 385). ","(Undergraduate)"
"TCH 402","INTRODUCTION TO MIDDLE GRADES AND SECONDARY EDUCATION","TEACH Program (TCH)","4 quarter hours","This course introduces middle grades and secondary education teacher candidates to the field of education and the role of teachers. It explores the expectations of and for teachers and students from fifth through twelfth grade. Students examine and critique goals and theories of middle grades and secondary education. They consider the meaning and practice of fostering equitable, intellectually rich, socially just, compassionate learning environments. Students will come to recognize the importance of, articulate the meaning of, and begin to practice critical, creative, reflective teaching practice. They also create instructional plans that reflect clearly articulated purposes and understanding of adolescents. 25 Level I Field Experience hours required.  Offered during Fall, Winter, and Spring terms. ","(Graduate)"
"TCH 403","CONCEPTIONS OF HEALTHY ADOLESCENCE","TEACH Program (TCH)","4 quarter hours","This course introduces varying conceptions of healthy adolescence, taking into account physical health and development, social and emotional health, mental health, and the contextual factors that shape healthy adolescence. Students will articulate diverse theories of what it means to be ""healthy"" throughout adolescence, develop instructional plans that consider the diverse interpretations of a healthy adolescence, create classroom environments that are sensitive to the health of adolescents, and communicate, model, and engage adolescents in the habits of mind necessary for healthy adolescence. Offered during Fall, Winter, and Spring terms. ","(Graduate)"
"TCH 411","THE NATURE OF ENGLISH","TEACH Program (TCH)","4 quarter hours","This course is designed to help students to see that the field of English Studies is bigger than the component they probably identify as English (it's Literature, Writing, and Linguistics/Grammar). Students will explore the formation of the discipline up to the current day, focusing on the shifting understanding of ways of reading, writing and thinking about language. They will strive to answer the questions: ""What does it mean to be a student of language and literature?"" and, ""What are the ways of knowing characteristics of English and Writing, Rhetoric, & Discourse majors?"" In doing so, students will relate the disciplinary content of their major to their daily lives and interests and to the larger framework of human endeavor and understanding, including identifying its importance to the personal lives of middle grades and high school students. The course is a prerequisite forTCH 421. Offered during Winter term only. ","(Graduate)"
"TCH 412","THE NATURE OF HISTORY AND THE SOCIAL SCIENCES","TEACH Program (TCH)","4 quarter hours","This course builds on the content course work students have done in the seven disciplines grouped under the heading ""social sciences"" (history, political science, geography, sociology, anthropology, economics, and psychology).  In this class students will get further exposure to the basic concepts of the social science disciplines and consider the connections as well as differences between them.  The course emphasizes how different disciplinary backgrounds lead students to bring different perspectives to their study of social phenomena and helps them see these phenomena from multiple vantage points.  The course will employ a case study approach framed around social issues of interest to all seven disciplines (e.g. social control, threats, development, natural disasters).  By the end of the course, students will have applied the knowledge and skills of multiple social science disciplines to evaluate social phenomena, considered the relationship and differences between those disciplines, and be prepared to enterTCH 422where they will apply their content knowledge to inquiry and teaching in the field. Offered during Winter term only. ","(Graduate)"
"TCH 413","THE NATURE OF MATHEMATICS","TEACH Program (TCH)","4 quarter hours","This course builds on students' mathematics understanding by emphasizing the universality of mathematics as a cultural endeavor. In it, students will explore the historical trends in mathematic and how those trends have been taught. Students will understand that, mathematics, at its core, is deductive; however, it also requires intuition. Thus, the course examines the interaction among intuition, experimentation, conjecture, abstraction, and deductive reasoning not only in the classroom but also in the everyday use of mathematics. It also examines the interplay between concrete problem-solving and generalization. Offered during Winter term only. ","(Graduate)"
"TCH 414","THE NATURE OF SCIENCE","TEACH Program (TCH)","4 quarter hours","This course is about the nature of science and the interactions between science and society.  It will build on the foundation of understandings that students already have about the processes and conventions of science developed through their years as science students to create opportunities for deeper understandings of the beliefs and assumptions inherent to the creation of scientific knowledge.   These opportunities will be developed through direct interactions with professional scientists as well as through case studies and readings that illustrate the strengths, limits and pitfalls of the scientific endeavor as well as provide opportunities for students to relate science to their daily lives and interests and to a larger framework of human endeavor and understanding (e.g., relationships among systems of human endeavor including science and technology; relationships among scientific, technological, personal, social and cultural values). Cases will be drawn from different scientific disciplines as well as from modern and historic times.  In this way, science students will have a better understanding of what it means to be a scientist and how science interfaces with society. The course is a prerequisite forTCH 424. Offered during Winter term only. ","(Graduate)"
"TCH 421","INQUIRY & APPLICATION IN DEVELOPING ENGLISH PEDAGOGY","TEACH Program (TCH)","4 quarter hours","This course builds onTCH 411by preparing teacher candidates to distinguish between what needs to be taught (content) and how it is taught (pedagogy), with an emphasis on understanding the historical shifts in the teaching of content and how these shifts inform teaching and learning in today's English language arts classrooms. The course also introduces students to methods of inquiry and reflection on content pedagogical knowledge. Student will examine their own educational experience through the lens of the historical trends, focusing on how they learned and what they understood their teachers to be doing. This initial case study will serve as an introduction into case study methods. Students will also develop expertise in one of the three historical trend areas -reading, writing, and language - and examine how the trend has informed teaching and learning and shaped curriculum, pedagogy, and assessment. Students will develop a case study of a practicing teacher using the lens of the historical trend in which they are developing expertise. Offered during Spring term. TCH 411is a prerequisite for this class. ","(Graduate)"
"TCH 422","INQUIRY & APPLICATION IN DEVELOPING HISTORY AND SOCIAL SCIENCES PEDAGOGY","TEACH Program (TCH)","4 quarter hours","This course builds on the content knowledge students developed and reinforced inTCH 412. More, it asks them to make the shift from considering how a person prepared in the social sciences analyzes social phenomena to how such a person teaches the social sciences. Students will do this by developing two units of inquiry-based case studies that they could use in their own classrooms. As students work on these projects, they will continue to reflect on the course work they have done in the content areas as well as the instruction they see teachers delivering. They will contemplate such questions as: ""What are the connections between the social science disciplines? How can they be taught together, creating interdisciplinary courses at the high school level? What are the differences between the social science disciplines and what does this mean for secondary pedagogy? How can teachers use inquiry with their students, making sure they have enough guidance to learn about social events but also the freedom to pursue their interests and make sense of the world on their own terms?"" By the end of this course, students through readings and their projects will have advanced their learning about the nature of inquiry, its implementation in the classroom, and the connections and differences between the social science disciplines. Offered during Spring term. TCH 412is a prerequisite for this class. ","(Graduate)"
"TCH 423","INQUIRY & APPLICATION IN DEVELOPING MATHEMATICS PEDAGOGY","TEACH Program (TCH)","4 quarter hours","This course builds onTCH 413by introducing students to inquiry methods to understand the teaching and learning of mathematics. Students will explore how mathematics has been and is taught by examining major paradigm shifts in mathematics education and the impact those paradigms and shifts have on pedagogical content knowledge, or knowledge of how to teach disciplinary content.  Students will use case study methods to look at instructional practices and begin to articulate their own mathematics teaching pedagogy. With the completion of this course, students will have a deeper understanding of mathematical literacy and the barriers to understanding and teaching mathematics, as well as being able to identify what makes an exceptional math teacher who is able to address the needs of all students. Offered during Spring term. TCH 413is a prerequisite for this class. ","(Graduate)"
"TCH 424","INQUIRY & APPLICATION IN DEVELOPING SCIENCE PEDAGOGY","TEACH Program (TCH)","4 quarter hours","FollowingTCH 414, this course transitions from asking ""what does a scientist do?"" to a consideration of why science literacy in the general public has been so difficult to achieve.  The focusing questions forTCH 424are: ""How do we teach science? What is science literacy? Why is an understanding of science important to the general public? and What are the major obstacles and strategies to achieving science literacy?"" The course begins by participants self-reflecting on their own educational experiences that led to their paths in science education: what have been their successful learning strategies, how have teachers influenced their education and what have been successful (and less than successful) classroom instructional strategies?  From this, students will begin science classroom observation, discussing their observations with their peers, and speaking with educators about their experiences teaching high school science and about the goals and short-comings of science education.  Throughout this process, students will read seminal literature on science literacy and explore cases challenging their notions of the teacher-learner relationship and the relationship between science and society. As a result of this course, students will gain a deeper understanding of scientific literacy and the barriers to understanding and teaching science as well as identify what makes an exceptional science teacher able to prepare both future scientists and a knowledgeable public. Offered during Spring term. TCH 414is a prerequisite for this class. ","(Graduate)"
"TCH 451","RESEARCH METHODS & DISCIPLINARY INQUIRY: ENGLISH","TEACH Program (TCH)","4 quarter hours","This course introduces students to education research methods and discipline-specific research and inquiry.  During the first five weeks, the course focuses on basic questions, issues, and theoretical frameworks central to the purpose, conceptualization, conducting, writing, reading and using education research as a means for informing education theory, practice and policy.  Candidates will be exposed to the multiple frameworks that inform education research and various methodologies employed in collecting and analyzing data. During the last 6 weeks of the course, the course focuses on research related to the teaching of the English language arts in the middle school and high school and pedagogical content knowledge, including research on teaching and learning, curricula and instructional delivery, assessment, and the relationship of socio-cultural, economic, and language use to teaching and learning disciplinary-specific content. Students will develop and implement small discipline-specific research projects, identifying research questions, conducting a literature search, developing a theoretical framework, and collecting and analyzing data.  NOTE: Offered concurrently withTCH 481. ","(Graduate)"
"TCH 452","RESEARCH METHODS & DISCIPLINARY INQUIRY: HISTORY AND THE SOCIAL SCIENCES","TEACH Program (TCH)","4 quarter hours","This course introduces students to education research methods and discipline-specific research and inquiry.  During the first five weeks, the course focuses on basic questions, issues, and theoretical frameworks central to the purpose, conceptualization, conducting, writing, reading and using education research as a means for informing education theory, practice and policy.  Candidates will be exposed to the multiple frameworks that inform education research and various methodologies employed in collecting and analyzing data. During the last 6 weeks of the course, the course focuses on research related to the teaching of history and the social sciences in the middle school and high school and pedagogical content knowledge, including research on teaching and learning, curricula and instructional delivery, assessment, and the relationship of socio-cultural, economic, and language use to teaching and learning disciplinary-specific content. Students will develop and implement small discipline-specific research projects, identifying research questions, conducting a literature search, developing a theoretical framework, and collecting and analyzing data. NOTE: Offered concurrently withTCH 482. ","(Graduate)"
"TCH 453","RESEARCH METHODS & DISCIPLINARY INQUIRY: MATHEMATICS","TEACH Program (TCH)","4 quarter hours","This course introduces students to education research methods and discipline-specific research and inquiry.  During the first five weeks, the course focuses on basic questions, issues, and theoretical frameworks central to the purpose, conceptualization, conducting, writing, reading and using education research as a means for informing education theory, practice and policy.  Candidates will be exposed to the multiple frameworks that inform education research and various methodologies employed in collecting and analyzing data. During the last 6 weeks of the course, the course focuses on research related to the teaching of mathematics in the middle school and high school and pedagogical content knowledge, including research on teaching and learning, curricula and instructional delivery, assessment, and the relationship of socio-cultural, economic, and language use to teaching and learning disciplinary-specific content. Students will develop and implement small discipline-specific research projects, identifying research questions, conducting a literature search, developing a theoretical framework, and collecting and analyzing data.  NOTE: Offered concurrently withTCH 483. ","(Graduate)"
"TCH 454","RESEARCH METHODS & DISCIPLINARY INQUIRY: SCIENCE","TEACH Program (TCH)","4 quarter hours","This course introduces students to education research methods and discipline-specific research and inquiry.  During the first five weeks, the course focuses on basic questions, issues, and theoretical frameworks central to the purpose, conceptualization, conducting, writing, reading and using education research as a means for informing education theory, practice and policy.  Candidates will be exposed to the multiple frameworks that inform education research and various methodologies employed in collecting and analyzing data. During the last 6 weeks of the course, the course focuses on research related to the teaching of the sciences in the middle school and high school and pedagogical content knowledge, including research on teaching and learning, curricula and instructional delivery, assessment, and the relationship of socio-cultural, economic, and language use to teaching and learning disciplinary-specific content. Students will develop and implement small discipline-specific research projects, identifying research questions, conducting a literature search, developing a theoretical framework, and collecting and analyzing data. NOTE: Offered concurrently withTCH 484. ","(Graduate)"
"TCH 455","READINGS IN AMERICAN HISTORY","TEACH Program (TCH)","4 quarter hours","Prepares students for teaching American history at the secondary level. Readings focus on the foundational texts of American history from the colonial era to the late 20th century, with an emphasis on gaining content knowledge and applying it to teaching in the secondary classroom. Class discussions focus on matters of interpretation, evidence, and historiography. Offered during Fall term. ","(Graduate)"
"TCH 465","ART AND PEDAGOGY","TEACH Program (TCH)","4 quarter hours","This course alongsideTCH 466is intended as a two-course sequence each complementing the other. AsTCH 466explores the source materials and major concepts of visual art's content,TCH 465focuses on teaching visual art. Building from the content requirements from their program or experience, students will understand how the art studio (content) experiences where ideas are developed translate to the preparation of teaching. Students will do this through multiple curriculum based projects intended for use in their own classrooms, including a K-12th grade general course reader to assist in introducing an art historical overview that influences and connects to general middle and high school studio practices. As students work on these projects, they will continue to reflect on the coursework they have done in the content area as well as watching and learning from classroom teachers and teaching artists in the field. They will contemplate such questions as: What are the connections among the arts disciplines?  How can they be taught together, creating interdisciplinary courses at the middle and high school levels?  What are the differences among the arts disciplines and what does this mean for secondary pedagogy?  How can teachers use inquiry with their students, making sure they have enough guidance to learn about artists, artistic periods and the nature of how artworks are produced.  Site visits required. 25 hours Level 2 Field Experience required. T&L 425 and admission to a College of Education program are prerequisites for this class. ","(Graduate)"
"TCH 466","TEACHER AS ARTIST","TEACH Program (TCH)","4 quarter hours","This course builds on the work inTCH 465, which alongsideTCH 466is intended as a two-course sequence each complementing the other. AsTCH 465focuses on the art of teaching the visual arts,TCH 466explores the source materials and major concepts of visual art content. Historically, artistic movements have shaped and currently identify the theories we use to define our most immediate environment. The major concepts can be connected to the artist studio and to the descriptions some artists make about the studio as a teaching space. In the course students will be introduced to a wide range of artists and their work, artistic movements and the individual artists who use teaching as a medium. How does an emerging artist or pre-service teaching artist draw on the understanding of their own work as a platform to build core principles of pedagogy? What is the link that combines a dynamic studio practice with an inspired methodology for teaching visual art? We will address these questions through creating a visual art teaching curriculum portfolio and writing a reflective artist monograph, produce a final exhibition of art and work alongside teachers and artists in the field.  Site visits are required.  25 hours Level 2 Field Experience required. T&L 425 and admission to a College of Education program are prerequisites for this class. ","(Graduate)"
"TCH 471","TEACHING ENGLISH IN THE MIDDLE GRADES AND HIGH SCHOOL 1","TEACH Program (TCH)","4 quarter hours","This course introduces students to the theoretical and practical issues of teaching the English language arts in middle grades and secondary classrooms. The course introduces candidates to research-based and theoretically grounded best practices in the teaching of reading, writing, speaking, and listening skills and sensibilities. Students will practice and reflect on writing instructional objectives, developing lesson plans, designing a curriculum unit, creating a classroom environment, and implementing instructional delivery strategies and methods, including the use of technology resources, that meet the needs of diverse learners, including English language learners and students who speak nonmainstream dialects of English. Students will reflect on their own emerging educational philosophies and theories. They will also demonstrate commitment to teaching as a professional who acts responsibly, ethically, and collegially in accordance to Vincentian personalism. 25 Level 2 Field Experience hours required. Whenever possible, Field Experience hours should be completed in student teaching placement. Offered during Fall term. TCH 402or T&L 425 is a prerequisite for this class. ","(Graduate)"
"TCH 472","TEACHING HISTORY AND THE SOCIAL SCIENCES IN THE MIDDLE GRADES AND HIGH SCHOOL 1","TEACH Program (TCH)","4 quarter hours","This course introduces students to the theoretical and practical issues of teaching history and the social sciences in middle grades and secondary classrooms. The course introduces candidates to research-based and theoretically grounded best practices in the teaching of the basic concepts of the seven social science disciplines. Students will practice and reflect on writing instructional objectives, developing lesson plans, designing a curriculum unit, creating a classroom environment, and implementing instructional delivery strategies and methods, including the use of technology resources, that meet the needs of diverse learners, including English language learners and students who speak nonmainstream dialects of English. Students will reflect on their own emerging educational philosophies and theories. They will also demonstrate commitment to teaching as a professional who acts responsibly, ethically, and collegially in accordance to Vincentian personalism. 25 Level 2 Field Experience hours required. Whenever possible, Field Experience hours should be completed in student teaching placement. Offered during Fall term. TCH 402or T&L 425 is a prerequisite for this class. ","(Graduate)"
"TCH 473","TEACHING MATHEMATICS IN THE MIDDLE GRADES AND HIGH SCHOOL 1","TEACH Program (TCH)","4 quarter hours","This course introduces students to the theoretical and practical issues of teaching mathematics in middle grades and secondary classrooms. The course introduces candidates to research-based and theoretically grounded best practices in the teaching of mathematics in all its representations. Students will practice and reflect on writing instructional objectives, developing lesson plans, designing a curriculum unit, creating a classroom environment, and implementing instructional delivery strategies and methods, including the use of technology resources, that meet the needs of diverse learners, including English language learners and students who speak nonmainstream dialects of English. Students will reflect on their own emerging educational philosophies and theories. They will also demonstrate commitment to teaching as a professional who acts responsibly, ethically, and collegially in accordance to Vincentian personalism. 25 Level 2 Field Experience hours required. Whenever possible, Field Experience hours should be completed in student teaching placement. Offered during Fall term. TCH 402or T&L 425 is a prerequisite for this class. ","(Graduate)"
"TCH 474","TEACHING THE SCIENCES IN THE MIDDLE GRADES AND HIGH SCHOOL 1","TEACH Program (TCH)","4 quarter hours","This course introduces students to the theoretical and practical issues of teaching the sciences in middle grades and secondary classrooms. The course introduces candidates to research-based and theoretically grounded best practices in the teaching of the different sciences, including biology, chemistry, environmental science, and physics. Students will practice and reflect on writing instructional objectives, developing lesson plans, designing a curriculum unit, creating a classroom environment, and implementing instructional delivery strategies and methods, including the use of technology resources, that meet the needs of diverse learners, including English language learners and students who speak nonmainstream dialects of English. Students will reflect on their own emerging educational philosophies and theories. They will also demonstrate commitment to teaching as a professional who acts responsibly, ethically, and collegially in accordance to Vincentian personalism. 25 Level 2 Field Experience hours required. Whenever possible, Field Experience hours should be completed in student teaching placement. Offered during Fall term. TCH 402or T&L 425 is a prerequisite for this class. ","(Graduate)"
"TCH 480","THE TEACHER AS PROFESSIONAL","TEACH Program (TCH)","4 quarter hours","In this course, students pull together significant elements from their prior courses as well as their experiences in the field to further their development as professional educators. Significant themes include understanding the socio-emotional needs of adolescents, the role and impact of using action research strategies to understand and adapt curriculum for students and to reflect on instructional strategies for potential professional development. Other considerations within the course include the role of teachers within building-, district-, and local communities; how teachers can continue to professionalize themselves and the profession by engaging in professional development opportunities and finding ways to model and motivate learning within relevant communities. Offered during Winter term. ","(Graduate)"
"TCH 481","TEACHING ENGLISH IN THE MIDDLE GRADES AND HIGH SCHOOL 2","TEACH Program (TCH)","4 quarter hours","This course continues students' immersion into the pedagogical content knowledge development and practices that began inTCH 421andTCH 471. The course provides students opportunities to continue to explore and develop research-based and theoretically grounded best practices in the teaching of reading, writing, speaking, and listening skills and sensibilities, with an emphasis on reflective and collaborative practice.  The course provides extensive opportunities for planning, using, and evaluating a variety of instructional strategies, including the use of technology resources, through teaching demonstrations and modeling and field experiences. Students will fine-tune and reflect on writing instructional objectives, developing lesson plans, designing a curriculum unit, creating a classroom environment, and implementing instructional delivery strategies and methods that meet the needs of diverse learners, including English language learners and students who speak nonmainstream dialects of English. And like inTCH 471, students will reflect on and clearly articulate orally, in writing, and through practice an educational philosophy and theory. Students will also demonstrate commitment to teaching as a professional who acts responsibly, ethically, and collegially in accordance to Vincentian personalism.  25 Level 2 Field Experience hours required. Whenever possible, Field Experience hours should be completed in student teaching placement. Offered during Winter term. TCH 471is a prerequisite for this class.  This class is taken concurrently withTCH 480. ","(Graduate)"
"TCH 482","TEACHING HISTORY AND THE SOCIAL SCIENCES IN THE MIDDLE GRADES AND HIGH SCHOOL 2","TEACH Program (TCH)","4 quarter hours","This course continues students' immersion into the pedagogical content knowledge development and practices that began inTCH 422andTCH 472. The course provides students opportunities to continue to explore and develop research-based and theoretically grounded best practices in the teaching of the basic concepts of the seven social science disciplines with an emphasis on reflective and collaborative practice.  The course provides extensive opportunities for planning, using, and evaluating a variety of instructional strategies, including the use of technology resources, through teaching demonstrations and modeling and field experiences. Students will fine-tune and reflect on writing instructional objectives, developing lesson plans, designing a curriculum unit, creating a classroom environment, and implementing instructional delivery strategies and methods that meet the needs of diverse learners, including English language learners and students who speak nonmainstream dialects of English. And like inTCH 472, students will reflect on and clearly articulate orally, in writing, and through practice an educational philosophy and theory. Students will also demonstrate commitment to teaching as a professional who acts responsibly, ethically, and collegially in accordance to Vincentian personalism.  25 Level 2 Field Experience hours required. Whenever possible, Field Experience hours should be completed in student teaching placement. Offered during Winter term. TCH 472is a prerequisite for this class. This class is taken concurrently withTCH 480. ","(Graduate)"
"TCH 483","TEACHING MATHEMATICS IN THE MIDDLE GRADES AND HIGH SCHOOL 2","TEACH Program (TCH)","4 quarter hours","This course continues students' immersion into the pedagogical content knowledge development and practices that began inTCH 423andTCH 473. The course provides students opportunities to continue to explore and develop research-based and theoretically grounded best practices in the teaching of mathematics in all its representations with an emphasis on reflective and collaborative practice.  The course provides extensive opportunities for planning, using, and evaluating a variety of instructional strategies, including the use of technology resources, through teaching demonstrations and modeling and field experiences. Students will fine-tune and reflect on writing instructional objectives, developing lesson plans, designing a curriculum unit, creating a classroom environment, and implementing instructional delivery strategies and methods that meet the needs of diverse learners, including English language learners and students who speak nonmainstream dialects of English. And like inTCH 473, students will reflect on and clearly articulate orally, in writing, and through practice an educational philosophy and theory. Students will also demonstrate commitment to teaching as a professional who acts responsibly, ethically, and collegially in accordance to Vincentian personalism.  25 Level 2 Field Experience hours required. Whenever possible, Field Experience hours should be completed in student teaching placement. Offered during Winter term. TCH 473is a prerequisite for this class. This class is taken concurrently withTCH 480. ","(Graduate)"
"TCH 484","TEACHING THE SCIENCES IN THE MIDDLE GRADES AND HIGH SCHOOL 2","TEACH Program (TCH)","4 quarter hours","This course continues students' immersion into the pedagogical content knowledge development and practices that began inTCH 424andTCH 474. The course provides students opportunities to continue to explore and develop research-based and theoretically grounded best practices in the teaching of the different sciences, including biology, chemistry, environmental science, and physics with an emphasis on reflective and collaborative practice.  The course provides extensive opportunities for planning, using, and evaluating a variety of instructional strategies, including the use of technology resources, through teaching demonstrations and modeling and field experiences. Students will fine-tune and reflect on writing instructional objectives, developing lesson plans, designing a curriculum unit, creating a classroom environment, and implementing instructional delivery strategies and methods that meet the needs of diverse learners, including English language learners and students who speak nonmainstream dialects of English. And like inTCH 474, students will reflect on and clearly articulate orally, in writing, and through practice an educational philosophy and theory. Students will also demonstrate commitment to teaching as a professional who acts responsibly, ethically, and collegially in accordance to Vincentian personalism. 25 Level 2 Field Experience hours required. Whenever possible, Field Experience hours should be completed in student teaching placement. Offered during Winter term. TCH 474is a prerequisite for this class. This class is taken concurrently withTCH 480. ","(Graduate)"
"TCH 495","ASSESSMENT PRACTICES IN THE MIDDLE GRADES AND SECONDARY EDUCATION","TEACH Program (TCH)","4 quarter hours","This course introduces candidates to theoretical and philosophical issues related to educational assessment. It addresses the range of assessments teachers will encounter in school settings, including individual cognitive and social and emotional assessments; course material, curricula, and disciplinary program assessments; and large scale high-stakes testing. The course provides candidates opportunities to explore student, program, and curricular assessment issues, including assessment methods and tools; standardized, quantitative, and qualitative assessments; formal and informal assessments; formative and summative assessments; integrated, self-, and peer assessments; cultural, social, economic, and language influences on assessments; and issues of reliability and validity in assessment. This class is taken concurrently with (TCH 471orTCH 472orTCH 473orTCH 474) or (TCH 481orTCH 482orTCH 483orTCH 484). ","(Graduate)"
"TCH 525","READING, WRITING, AND COMMUNICATING ACROSS THE CURRICULUM","TEACH Program (TCH)","4 quarter hours","This course analyzes the relationships among reading, writing, speaking and listening. It encourages middle level and high school teachers in all disciplines to take these interrelationships into account and to plan curricula that include current teaching strategies to enable students to become better readers, writers and thinkers in their various content-areas. This course will also concentrate on group process and its role in effective teaching within and across content-areas. Language use, learning and teaching are considered from a multicultural perspective. Offered during Winter and Spring terms. TCH 471orTCH 472orTCH 473orTCH 474, and status as a Graduate Education student is a prerequisite for this class. ","(Graduate)"
