course_code,course_title,course_description,course_credits
Population Health and Epidemiology,NRSG825,"The focus of this course is on analysis and synthesis of disease prevention for populations and aggregates to include primary, secondary, and tertiary preventive best practices. Principles and application of epidemiology are included.Students must earn a grade of B- (80%) or higher in all core and concentration courses to pass the course in the program.",4
Organization and Systems Leadership,NRSG830,This course focuses on the application of organizational and leadership concepts to foster and promote healthcare systems by applying models of leadership designed to improve nursing practice and healthcare outcomes.  Students must earn a grade of B- (80%) or higher in all core and concentration courses to pass the course in the program.,4
DNP Project I: Design and Planning,NRSG831,This course focuses on designing an evidence-based practice change initiative to improve health outcomes. Students will be required to use scientifically rigorous methods in the clinical practice and/or healthcare delivery environment to implement a change in practice in order to improve outcomes based on evidence for health promotion. Students must earn a grade of B- (80%) or higher in all core and concentration courses to pass the course in the program.,6
DNP Project II: Implementation of Evidence Based Practice,NRSG832,"The focus of this course is on implementation of the evidence-based practice change in the practicum setting, providing opportunities to engage in increasingly complex organizational projects, and participate in implementation of evidence-based initiatives to improve health outcomes and system effectiveness.Students must earn a grade of B- (80%) or higher in all core and concentration courses to pass the course in the program.",6
DNP Project III: Evaluation of Change,NRSG833,The focus of this course is on scientific evaluation of an evidence-based change initiative using scientifically rigorous methods in the practice and /or healthcare delivery environment to improve outcomes.Students must earn a grade of B- (80%) or higher in all core and concentration courses to pass the course in the program.,5
Organizational Communication,OB315,"This course focuses on the implementation of effective communication strategies across various organizations. It utilizes practical application of communication theories to develop essential workplace communication skills. This will be done through an examination of how communication principles shape organizational effectiveness. The course explores the flow of information in workplace settings, analyzing how messages move through formal and informal channels. Students will have the opportunity to explore how to navigate common organizational challenges including team dynamics, conflict resolution, and change management.",4
Applications of Organizational Behavior,OB410,"This course emphasizes practical applications of organizational behavior (OB) theories, particularly in group dynamics, change management, and conflict resolution. This course explores the fundamental principles and practices of OB, emphasizing research-driven approaches to organizational effectiveness. Through analysis of contemporary research, the course examines how individuals, groups, and organizational structures interact to create effective organizations and how those actions improve the organization’s performance. Students will have the opportunity to review the ethical considerations in organizational behavior while learning to analyze and optimize organizational structures.",4
Orientation to the Organizational Behavior Profession,OB450,"This course will launch the concentration in Organizational Behavior, commonly referred to as OB.  It will begin with defining ""what is an organization"" and what career opportunities exist for those with a concentration in this field.  The course introduces the three levels of analysis that OB and organizational development practitioners address:  the individual, the group and the organization.  Since OB draws upon an array of diverse disciplines, this orientation to the landscape will touch upon psychology, management, sociology, organization theory, anthropology, systems theory, economics and ethics.  The insights from these disciplines will be applied to illuminate the human dynamics that go on inside workplaces and to provide a tool chest of the skills organizational development practitioners employ to better understand and manage peopleâindividually, and as collectives inside large systems.  The metaphor of the learning organization will provide a framework for how to diagnose issues, develop strategies for change and improvement, and evaluate and measure success. Students learn the history and origins of this relatively young field of practice, as well as, become introduced to the major schools of thought and to the current challenges at the cutting edge of the field.",4
Consulting Skills,OB455,"More and more work is delivered not through employees, but through consultants.  This course introduces the concepts, foundations and methods of organizational consulting. The course examines the current use of consultants to assess and improve organizational performance and prepare students with foundational skills in organization diagnosis, data collection, client relationships, proposals for work, codes of ethics, and return on investment, as well as evaluation of impact.  Key ethical and professional standards for organizational consults will be discussed. Students practice developing a consultation agreement and address scope of practice, common consultation activities, and reporting expectations. Students develop a mental model of the challenges and opportunities inherent in todayâs world of consulting.",4
Creating Change in Individuals and Organizations,OB460,"Learning never endsâfor individuals and for organizations.  This course looks at organizational change and development throughout history and into the 21st century.   The concept of creating organizations that foster the learning and development of their people, that capture organization wisdom through knowledge management and that help people think in strategic systems-oriented ways has become a classic  in the field of Organizational Behavior and Change.  This course examines the elements and disciplines that can generate a culture of learning and change. Students have an opportunity to reflect on their own learning as they contemplate the work of growing people and organizations to achieve their highest potential.",4
Adult Learning: Corporate Training and Development,OB465,"One of the most critical capacities for success in todayâs workplace is the ability to facilitate the development and learning of others.  This course provides opportunities to examine the skills of corporate training and workplace education.  Topics include: how adults learn, how to design and develop materials for a short or longer- term training program, and how to measure learning through return on investment for the energy invested.  Students create a piece of workplace curriculum and present it to a selected audience as they learn about educational roles inside corporate workplace settings.",4
Developing Human Resources,OB470,"Companies that excel and sustain results over the long haul attend to the development of their people and ensure smooth transitions in key leadership roles when vacancies occur.   This course examines tools and strategies used to assess and identify organizational talent among staff at all levels.  According to the Center for Creative Leadership, developmental assignments are one of the most powerful ways to grow your talent.  This course covers the concepts of leadership succession planning and talent development programs for high potentials.  In addition, the content will include practices employed in leading companies to develop new skills and knowledge of competent and committed staff, as well as how to move less successful and less engaged staff to new opportunities that free up their calendars and redesign their resumes.",4
Advanced OD Skills: Organization Interventions,OB475,"This is an advanced skills course for the concentration of Organization Behavior.  Students play the role of an internal or external consultant, bringing their skills to bear on real organizational problems or challenges.  Students plan an organizational improvement or transformation and draft a proposal for an organization development intervention to support the change.  Transformational, rather than incremental change will be defined, as well as the capacities needed to be change leaders and change agents to support people through profound change.  Parallel to this work, each student develops a plan for personal or professional change and charts a course of action for this transition to the next stage of development.",4
Organizational Strategy & Design,ODC870,"This course will explore the organizational dynamics, processes, and challenges inherent in analyzing and designing an organization to achieve business strategy. As leaders in organizational development and change, students will explore various methods and techniques of analysis and design, including methods of organizational change. This course will explore systematic management approaches for leading organizational design efforts ranging from problem identification, to design recommendations, and organization transformation.",4
Current Topics in Organizational Development,ODC872,"This course covers advanced topics in organizational development that help scholar-practitioners prepare for change leadership. Students will identify, assess and evaluate intentional and unintentional organizational change management processes. This course will cover topics in organizational development stakeholder involvement, change effort decision making, and current trends in organizational development leadership.",4
Leading and Managing Large Scale Transformation,ODC874,"This course explores the theories associated with, and methods utilized to produce, large scale transformative change in organizations. This course delves into: conditions for and drivers of large scale transformative change, planning large scale change efforts, leading and/or facilitating large scale change processes, stakeholder participation in large scale change, the change processes catalyzing transformative change, cultural implications of large scale change, and organizational learning.",4
System Thinking and Decision Making,ODC876,"This course is a doctoral level analysis of research on models in contextualizing making connections among issues using systems thinking and decision making processes. Topics in this course will relate the concepts of decision process applied to issues in the areas of: strategy formulation and business planning, creating and sustaining a competitive advantage, ensuring organizational system alignment to strategy, options and reasoning for strategic actions, strategic planning in environments of uncertainty, and systems readiness for strategic growth. The essence of this course is designed to help leaders define systems and apply strategic approaches.",4
Advanced Career Strategies in Organizational Development and Change,ODC878,"In this course students will expand career options by exploring a variety of careers that are consistent with their management concentration areas.  Students will be engaged in defining career aspirations, mapping professional goals, and creating strategies for performance enhancement.  This course places emphasis on professional development by evaluating personal strengths and identifying opportunities to doctoral experiences. Students will leave this course with a direction for life after the DM program.",4
Public Administration Theory and Practice,PA600,"This course provides an introduction to the field of public administration.  It addresses the social, political, and economic contexts of public administration, the nature of public-sector bureaucracies and political decision-making processes, public administration theory, and the nature of government and governance",4
Graduate Research Methods for Public Administration,PA605,"This course will provide a working knowledge of quantitative, qualitative, mixed, and action research approaches. It covers the entire research process for each of these methods to include: formulating research questions; developing research proposals; performing a literature search and analysis; sampling and measurement; research design; data analysis; and writing and presenting the research report will be analyzed.",4
"Federal, State, and Local Government",PA610,"This course will focus on helping the student develop a working understanding of the roles of the federal, state, and local governments in public policymaking and administration in the United States.  Topics to be covered include: the US Constitution, the principles of Federalism, the role of the federal government, the role of state and local government, the differing legal and institutional environments operating at the different levels of government, and decision-making processes at the different levels of government.",4
Budgeting and Finance for Public Administration,PA615,"This course will address the role and methods of budgeting and financial management of public sector agencies.  Course topics will include: budget preparation and implementation, legislative review and auditing, budget analysis, debt management, fund accounting, and forecasting.",4
Capstone in Public Administration,PA620,"This course will represent the culminating experience of the program and will be undertaken once the student has successfully completed all the core courses in the program.  The course will involve the student conducting research and producing a professional-quality analytical paper that addresses a problem or issue in public administration.  Course topics will include: public administration analysis and evaluation, strategic planning, ethical, and governance issues.",4
Public Administration,PBAD201,"Provides an introduction to the field of public administration.  The course is focused on the structure, functions and processes of the executive branch; agencies of national, state and local governments; and emphasizes nonprofit organizations as co-actors with government in the policy-making/policy-implementation area.",4
State and Local Government,PBAD210,"This course will acquaint the student with the workings of state and local governments and their respective roles in American governance.  The course will focus on the legal, institutional, political, and policy environments in which state and local governments operate.",4
Grant Writing Basics,PBAD301,"Students will learn the essential skills of researching a proposal, identifying stakeholders, incorporating the necessary drafting steps, and crafting a perfect match between a funderâs and solicitorâs needs.  The course provides guidance on writing proposals for a variety of types of organizations.",4
Shaping Public Policy: Politics and the Legislative Process,PBAD311,"Students will explore and analyze the dynamics of state legislatures and Congress in this comprehensive study of the legislative process as it relates to the creation and funding of public policy and public institutions.  The impact of political parties, interest groups, and the legislative oversight of bureaucracy are also considered.",4
Policy Analysis and Program Evaluation,PBAD350,"This course will focus on program evaluation – the process of collecting and analyzing information to determine if a program or policy is meeting its objectives. The course will focus on policy analysis in the context of program evaluation methodologies and conceptual frameworks, the steps involved in conducting a program evaluation, developing needs assessments, and employing logic models.",4
Nonprofit Organizations and Public Policy,PBAD360,This course will introduce the student to the non-profit sector (also known as Civil Society) and its relationship to government.  The class will address the variety of non-profit organizations that exist and the role that non-profits play in society and in providing services in support of or in lieu of government resources made available to the populace.,4
Administrative Law and the Adjudicatory Process,PBAD411,"Introduces the student to the elements of modern administrative law and the rule of law in public administration.  Identifies the problems public managers face in administrative law processes and the interaction of law, politics and administration.  Traces the process in the formal administrative process from agency rulemaking to administrative adjudications and judicial review.",4
Public Administration Capstone,PBAD480,The Public Administration Capstone course represents the culminating experience of the BSPA program. The course will focus on integrating knowledge conveyed in the program and synthesizing that knowledge.,4
Introduction to Ethics,PHIL101,"This course is designed to provide students a basic understanding of moral and ethical theories and concepts. The activities and discussions encourage students to explore and solve ethical dilemmas by identifying and applying moral and ethical theories.  Students will also be encouraged to explain their reasoning from cultural, professional, and personal standpoints.  A variety of ethical issues and methodologies will be explored, as students evaluate moral dilemmas in an assortment of work and life scenarios.",4.5
Physics I - Mechanics,PHY211,"This is a calculus-based physics course designed for science and engineering students. Topics include linear and angular motion, forces, momentum, work, energy, periodic motion and properties of materials.",5
"Physics II â Heat, Light and Sound",PHY212,"This is a calculus-based physics course designed for science and engineering students. Topics include wave motion, sound, heat, thermodynamics, light, optics, and an introduction to the special theory of relativity.",5
Electromagnetics,PHY340,"This is an introductory electromagnetic fields course that covers Electro- and Magnetostatics, Maxwellâs equations, capacitance, inductance, dielectric and magnetic materials, and plane wave propagation.  Concepts are applied to practical applications in transmission lines and antennas.",5
Solid State Physics,PHY350,"This course provides an introduction to the basic physics and principles of operation of the major semiconductor devices.  These devices include the diode, bipolar junction transistor and field effect transistor.  All modern electronic circuits are created from combinations of these devices, from the simplest power supply to the most complex integrated circuit microprocessor. The course extends concepts from basic physics to explain carrier motion in these devices under the influence of electric fields and semiconductor properties.",5
Fundamentals of Project Management,PJM200,"This course is designed to provide students with an overview and introduction to the foundational discipline of project management. It examines project management from the perspective of thePMBOK® Guide, Process Groups: A Practice Guide, Waterfall, Agile, Hybrid, and other emerging project management methodologies. Students will explore various project management principles, skills, tools, techniques, and concepts associated with these different methods and guides.",6
Project Management Tools,PJM210,"This course emphasizes a step-by-step, hands-on approach to teach students the use of project scheduling software tools such as Microsoft Project®, ProjectLibre™, and Smartsheet®   to help effectively plan, design, and manage a project schedule from start to finish. Students will have the opportunity to build a complete project schedule from a given or chosen scenario, and manage project resources, plan cost management, estimate costs, and determine the project budget. This course will examine the appropriate use of tools, like Rally®, Jira™, and ServiceNow®.",4
Project Risk Management,PJM220,"In alignment with the PMBOK® Guide, this course focuses on project risk management. Students explore the principles, strategies, skills, tools, and techniques necessary to manage risk planning, identification, analysis, response, implementation and monitoring project risks in various environments.PMBOK® Guide is a registered mark of Project Management Institute, Inc",4
Project Management Leadership,PJM300,"This course provides an overview of organizational leadership with a focus on leading in project management environments. Students explore techniques for effective leadership in project or program environments including effective leadership, negotiation, communication, motivation, and conflict resolution. Students will have the opportunity to build the skills necessary to lead project and program teams.",4
Contracts & Procurement Management in Projects,PJM310,"This course provides students with a systemic approach to procurement management within a project management environment. In alignment with the PMBOK® Guide, students will have the opportunity to examine the Procurement Life Cycle Management using a given or chosen project scenario.PMBOK® Guide is a registered mark of the Project Management Institute, Inc",4
Project Performance and Value Delivery,PJM320,"In alignment with the PMBOK, this course focuses on the knowledge, principles, domains, methods, skills, tools, and techniques used to guide the successful delivery of projects. Students examine the PMBOK’s performance domains, project delivery principles, and the five process groups, and the agile principles.PMBOK is a registered mark of Project Management Institute, Inc.",4
Project Management Fundamentals,PJM600,"This course is an introduction to the foundational discipline of effective project management in any industry. It examines the methods, approaches, processes, skills, tools and techniques, and value delivery system that project managers use to complete their projects on schedule, within budget, within scope, within quality, and customer acceptance. Students will explore and apply elements of the theoretical and operational framework of project management.",4
"Project Planning, Execution and Control",PJM610,"This course is focused on effective project planning, execution, and control.  It examines the skills, tools & techniques, processes, and principles used in various project management environments to deliver projects successfully. Students have the opportunity to acquire skills for overseeing projects and managing project teams throughout the project life cycle.",4
Project Scheduling and Control,PJM620,"This course provides students with an opportunity to apply different approaches to project scheduling and control. Students explore how to balance scope, time, and cost by utilizing tools and techniques. Specific project management tools covered include Gantt chart, Work Breakdown Structure (WBS), Program Evaluation and Review Technique (PERT), Milestone Charts, Critical Path Method (CPM), Critical Path (CP), Earned Value Management (EVM), Burn down charts, Net Present Value (NPV), and Internal Rate of Return (IRR).",4
Project Procurement & Contract Management,PJM630,"This course provides an overview of procurement and contract management in project management. It examines the full life cycle of project procurement as it relates to both the buyer and the seller.Topics covered include bidding (RFQs, IFBs, and RFPs), contracts (fixed price, cost plus, time and materials), and the impact on project risk and contract negotiation. The course also reviews changes in contracts and methods to resolve disputes.",4
Managerial Decision- Making in a Project Management Environment,PJM640,"The course is designed to provide an understanding of achieving organizational strategic objectives through effective project selection and management. Students will examine the process of decision-making by organizational managers pertaining to key decisions, prioritization, and alignment with their overall strategic objectives. The course also explores the role of the Project Management Office (PMO) and how the decisions made by this office impact organizational project planning, cost, scheduling, monitoring, and control.",4
Strategic Project and Risk Management in a Dynamic Environment,PJM650,This course focuses on the relationship between project risks and the organizational risks at the strategic level. The alignment of project objectives and embedding risk management in the overall strategy of the organization will be addressed. The management of the project scope from a risk and strategy perspective throughout the project life cycle will also be discussed. Students will have the opportunity to apply project and program risk management and strategic decision-making processes to project situations.,4
"Agile, Waterfall and Hybrid Project Management Methods",PJM670,"As project management has transitioned into a central focus of all business practices, the approach to managing projects has also evolved. This course explores various project management methods including waterfall, agile, and other hybrid methods. The course also examines the principles, approaches, and practices that guide each method. Students will have the opportunity to learn of different project management approaches within an organizational setting.",4
Project Management Capstone,PJM690,"This course requires students to synthesize and apply the project management knowledge, methods, approaches, tools, and techniques to address a relevant issue.Students will have the opportunity to develop a project or program management plan from a given or chosen project or program scenario and present the application of their work.",4
Project Management Tools,PM220,"This course emphasizes a step-by-step, hands-on approach to teach students the use of automated project tools such as Microsoft Office Project to help effectively plan, design, and manage a project schedule from start to close.  Students will  have the opportunity to build a complete project schedule from a given or chosen scenario, and manage project resources, plan cost management, estimate costs, and determine the project budget. During the course, students will  examine the fit and appropriate use of various other tools, like Rally, Jira, and Service-Now.",4
Project Management Capstone,PM430,"As the capstone course in the PM program, this course requires the students to demonstrate how to synthesize and apply the concepts, tools, and techniques covered throughout this degree program to a real world scenario project. They must also demonstrate the ability to produce a project plan, use project management software, and manage project stakeholder expectations. Writing and presentation skills are also assessed.",4
Project Management Processes in Organizations,PM600,"This course emphasizes the development and integration of project management in organizations. It provides an overview and introduction to the discipline of project management, coupled with an examination of the techniques that project managers use to complete their projects on schedule, within budgeted cost, and according to specified scope and quality. With materials presented by the Project Management Institute (PMI®) in its Guide to the Project Management Body of Knowledge (PMBOK® Guide),  students explore the theoretical and operational framework of project management relating to the project life-cycle of project initiating, planning, executing, monitoring and controlling, and closing.",4
"Project Planning, Execution and Closure",PM610,"This course offers a practical approach emphasizing the project knowledge areas and process groups presented by the Project Management Institute (PMI®) in its Guide to the Project Management Body of Knowledge (PMBOK® Guide). The course provides an overview of aspects related to the project life-cycle and project management techniques that are used to manage projects successfully by delivering them on schedule, within budget and quality and customer acceptance.",4
Schedule and Cost Control Techniques,PM620,"This course emphasizes a hands-on approach to using project management tools to facilitate scheduling, estimating, tracking and controlling the schedule and costs of the project. Working with a given or chosen project schedule, a project baseline will be established so that actual schedule and cost variances can be compared to the project baseline, and corrective actions can be developed to address the variances. Specific project management tools covered include Gantt, PERT, Milestone Charts, Critical Path Method (CPM), Earned Value Management (EVM), Present Value (PV) and Internal Rates of Return (IRR). Specific topics covered include developing contingency plans, incorporating risk and quality factors into project cost and schedule and establishing ways to communicate project status to various stakeholders at various points in the project life-cycle.",4
Contracting and Procurement in Project Management,PM630,"This course includes writing, negotiating and adhering to contracts, as well as legal and ethical considerations. Procurement, including writing, clarifying and communicating specifications, is covered. There is an emphasis on Contract Administration and dealing with subcontractors. Topics include bidding, types of bids (e.g., RFQs, IFBs, and RFPs), types of contracts (e.g., fixed price, cost plus, and time and materials), and their respective purposes and impact on risk and project contract negotiations. Changes in contracts, methods to resolve disputes, and writing clear statements of work (SOW) are discussed.",4
Applied Managerial Decision-Making in a Project Management Environment,PM640,"This course examines how organizational managers and leaders make key decisions about projects, programs, portfolio selection, prioritization, and project alignment with the overall strategic objectives of the organization. Planning, budgeting, scheduling, monitoring, and control of multi-project programs will also be discussed. The course is designed to provide an understanding of achieving organizational strategic objectives through effective program and portfolio management.",4
Strategic Project & Risk Management in Dynamic Environments,PM650,"This course focuses on the relationship between project risks and the organizational risks at the strategic level.  The alignment of project objectives and embedding risk management in the overall strategy of the organization will be addressed. The management of the project scope from a risk and strategy perspective throughout the project life cycle will also be discussed.     Students will apply project and program risk management and strategic decision-making processes to project situations by integrating various methods to plan for, identify, analyze, respond to, and monitor and control risks within project and program management.",4
Project Management Capstone,PM665,"As the Capstone course in the Project Management program, this course requires students to demonstrate how to synthesize and apply the concepts, knowledge, skills, tools, and to a real world scenario project. Students will be required to demonstrate the ability to produce a complete project plan, understand project integration and management of projects within a program, use project management software to manage cost, time, and resources, and manage project stakeholder expectations.",4
Special Topics in Project Management,PM670,"As project management has transitioned into a central focus of all business practices, the approach to managing projects has also evolved. This course will investigate emerging PM methodologies such as Agile, Scrum, Waterfall, and Kanban. Through this course, students will study the application of these different methods and learn how a blended model could best serve organizations and support project success.",4
Special Topics in Project Management,PM699,This course addresses issues of current interest in project management.  Course content will vary as determined by student interest and evolution of the discipline.,1-6
Life-Cycle and Performance Management,PM870,"This course is designed to provide senior level program or portfolio managers with the knowledge and tools to integrate program and portfolio management concepts into various product or service life-cycles. Students will have the opportunity to create a program and portfolio strategy using life cycle elements and develop the necessary organizational design (OD) practitioner skills needed to deal with today’s most complex and challenging business problems. Students will use research, theory, experience, and shared best practices to solve real life problems.",4
Portfolio & Program Management,PM872,"Through literature research, this course examines various strategies used for managing multiple projects within organizational programs and portfolios. Students will have the opportunity to assess multi-project management tools, methods, and technologies to evaluate the success and failures of projects, programs, and portfolios.",4
Special Topics in Project Management,PM874,"This course covers advanced topics in project, program, and portfolio management. Students will have the opportunity to conduct research focused on emerging project, program, and portfolio management trends. Course topics vary as determined by students’ interests and evolution of the discipline.",4
Risk and Quality Management,PM876,"This course is designed to provide a systematic approach to program and portfolio quality and risk management by examining the applications of risk and quality management to evaluate a given situation.  Students will have the opportunity to use risk management techniques and quality management tools related to program management. Using research, theory, experience, and shared best practices, students will have the opportunity to develop consultative and organizational design (OD) practitioner skills to solve organizational problems and issues and make recommendations.",4
Advanced Career Strategies in Project Management,PM878,"In this course students will expand career options by exploring a variety of careers that are consistent with their management concentration areas.  Students will be engaged in defining career aspirations, mapping professional goals, and creating strategies for performance enhancement.  This course places emphasis on professional development by evaluating personal strengths and identifying opportunities to doctoral experiences. Students will leave this course with a direction for life after the DM program.",4
Introduction to Political Science,POLS101,This introductory course focuses on building a basic understanding of contemporary and modern political theory and political systems.  Students learn about basic political ideas as well as elements of varied political systems throughout history and the world.  Students also gain an appreciation of the importance of understanding and actively participating in the political process.,4.5
American Politics and Political Thought,POLS330,"This course surveys the development of American political thought and governance from the colonial era to the present. Issues to be addressed in the course include: the role of federalism, the development of American national identity, the role of religion in public life, the development of the political right and the political left, the role of ideas in political developments, and the role of sub-groups in American political and social development.",4
Introductory Psychology,PSYC102,"Psychology is fundamental to every field in academic study. This course is designed to teach students a basic understanding of human behavior as well as emotional and cognitive development.  Coursework incorporates terminology, principles, and foundational theories that comprise modern concepts of introductory psychology. This course is designed to teach students using practical, real-world application of course concepts within their professional, personal, and relational lives.",4.5
Psychology of Success,PSYC105,"This introductory course addresses reasoning skills, aptitudes, and mental development needed for personal and professional success.  The course explores growth mindset, self-efficacy, and productive habits that influence academic and professional perseverance and achievement.  Theoretical principles are introduced to overcome challenges with critical thinking skills, intrinsic motivation, and solution-focused thinking techniques.",4.5
Group Dynamics,PSYC130,"This course examines the theories applied to group development and dynamics. The course explores the function of how norms, roles, and status influence group interaction and performance. Influential leadership is addressed as it relates to group cohesion and conflict in a professional environment.",4
Social Psychology,PSYC210,"This course introduces students to the study of social psychology.  The course includes an exploration of human behavior in groups and the impact on interpersonal relationships and the workplace:  how individual behavior is impacted by group dynamics, and, how group identity is shaped by individual and team membership. The course will include topics such as: group processes, relationships, group thinking, conforming to group norms, individuality, as well as, stereotypes and prejudice. During this course the student will examine examples of individuals interacting within the social environment. Students will analyze theoretical perspectives and themes that have emerged in the field of social psychology and how these perspectives have influenced the modern workplace and the field of psychology as a whole.",4
Child and Adolescent Psychopathology,PSYC301,Students will explore the assessment and treatment of child and adolescent psychopathologies and discuss evidence-based treatments. Case studies will provide an opportunity to analyze case formulations and the complexities in the nature of childhood disorders.,5
Psychology of Entrepreneurship/Intrapreneurship,PSYC305,"This course applies psychological theory and entrepreneurial research to understand the entrepreneurial mindset.  The course will identify the attributes and behaviors that drive entrepreneurs to take risk, recognize opportunities, and seek new business ventures.",4
Applied Social Science Research Methods,PSYC309,"This course is designed to provide students with the basic understanding of how social science research is applicable in the workplace. Students are introduced to quantitative and qualitative research methods.  This course explores how these methods can be used in the workplace with activities such as creating a survey or conducting effective interviews.  In addition, ethical issues related to conducting research with human subjects are addressed.  This course demonstrates the use of the American Psychological Association (APA) style of formatting and citations.",4
Organizational Psychology,PSYC310,"Organizational Psychology is a foundational course in the field of Organizational Behavior. This course provides perspectives and tools for understanding behavior in organizations.  It explores the resources managers and leaders might use to improve, enhance, or change work behaviors. Topics to be addressed include structure and foundations of organization, stages of organization development, culture, power, leadership, decisionâmaking, and communication. The impact of change on an organization will also be explored as well as the strategies leaders use to manage change.",4
Biological Foundations of Behavior: The Brain,PSYC315,"The human mind is housed in our brain.  This course will focus on the biological and evolutionary function and structure of the amazing human brainâhow biology and neuroscience deepen our understanding of the key mental processes we use every day to think, speak, and solve problems.  Content will focus on the mental events and brain function involved in thinking, memory, learning, reading, recall and attention as well as some of the mysteries of perception, sensation and problem-solving.  The course examines the controversies around left brain and right brain, and the specializations of the hemispheres, since many people in the workplace attribute their perspectives to being ""left"" (analytical) or ""right"" (emotions, feeling, intuition) brained.   The role of the biological and physiological roots of human behavior will be addressed",4
Theories of Personality,PSYC320,"What makes you the unique individual you are?  The field of psychology called Theories of Personality studies enduring characteristics and traits that shape who we are and how we interact with others.   Personality inventories have become highly prevalent as a tool for building relationships and communication in the workplace.  This course will examine theories regarding   how individuals are shaped, including examination of the Big Five personality factors, which provide the foundation for the Myers-Briggs Type Indicator (MBTI) and other popular personality assessments.  The goal of this course is for students to appreciate the uniqueness of individual personalities within the human experience, and to be able use this insight to achieve greater versatility in inter-personal relationships at work, as well as in personal life.",4
Psychology and Social Media,PSYC325,"This course will examine the impact of social media on individuals, groups, and business institutions.  The course will address how social media can be leveraged to impact change, build clients, drive brand images, create business networks, and engage customers.",4
Abnormal Psychology in the Workplace,PSYC337,"This course examines how to distinguish normal from abnormal behavior and present the major perspectives regarding psychological disorders. The medical perspective, the psychoanalytical perspective, the behavioral and cognitive perspectives, the socio-cultural perspective as well as the humanistic perspective of diagnosis and dealing with behavior label abnormal are explored.  The course reviews a historical perspective regarding unusual, out of the norm and or distressed behavior in the past, linking it to superstition, witchcraft and contrasting arrays of treatments and approaches available today.  Common disorders are defined such as anxiety, phobias, panic attacks, psycho-somatic disorders, dissociative disorders, mood problems, schizophrenia, depression and personality disconnects.  Those who deal with human behavior in the workplace need to understand behavior and assess when it has reached a level of concern that may require outside expertise.",4
Introduction to Abnormal Psychology,PSYC338,This course is designed to introduce students to the concept of Abnormal Behavior as it is understood within the field of psychology. The course will examine effective strategies for interacting with those exhibiting abnormal behavior. Students will have the opportunity to explore the resources for supporting organizations in the effective management of diverse teams. The course will also examine the ethical implications and legal responsibilities related to supporting those with abnormal behavior in the workplace.,4
Forensic Psychology,PSYC346,"This course is intended to provide students with the analysis of behavioral evidence. The course will cover topics such as offender profiling, crime scene reconstruction, applied victimology, distinguishing between modus operandi and signature aspects of a crime, as well as the use of psychological evidence in criminal litigation. This course will prepare students to understand and cope with the use of forensic psychology in law enforcement and the court room.",4
Adult Learning and Cognition,PSYC353,"The human capability to contemplate, analyze, plan, and remember constitutes a foundation of learning. Fundamental elements of how our minds work to perceive, remember, reason, and solve problems will be examined. This course focuses on how mental processes operate in the midst of solving problems in life and at work. Understanding how adults learn and how this can be applied to professional development within organizations will be a focus of the course. Students will also have the opportunity to explore the use of technology to enhance the learning process.",4
Learning and Cognition,PSYC355,"Human beings have a distinct ability to think.  The ability to contemplate, analyze, plan or remember sets us apart from other species although we share the ability to learn through operant conditioning and experience with other higher order mammals. This course examines the fundamental elements of how human beings learn, how they make meaning and how our minds work to perceive, remember, reason, speak and solve problems.  The focus of this course will be to examine how mental processes operate in the midst of solving problems in life and at work.  The course investigates current applications in computers and artificial intelligence and how thinking and behaving creatively are changing with the escalation of high tech high touch devices and applications. Understanding how adults learn and how to create learning organizations are especially crucial competencies for those who seek careers on the human side of the business world.",4
