course_code,course_title,course_description,course_credits
Human Capital Management,BADM880,"This course will cover critical elements of human capital management and its alignment to business strategy. The course focuses on the essential practices of human capital management and how those practices impact organizational performance. The course includes topics such as workforce planning, workforce analytics, training, and workforce metrics and reporting.",4
Supply Chain and Logistics Management,BADM890,"This course will cover strategies on optimizing the supply chain and value chain operations.  The course will include best practices in addressing location, production, manufacturing, product flow, and outsourcing decisions. Use of data analytics to optimize the supply chain and value chain operations will be discussed.",4
Managerial Psychology,BHVS205,This course examines key theories and practices of leadership in the workplace. It exposes students to the skills related to workplace supervision. Students compare and contrast ways of managing various workplace relationships. Students have the opportunity to develop professional communication skills that emphasize effective interactions. The course is designed to develop managerial skills across all levels.,4
Motivation and Emotion,BHVS215,"This course is designed to provide fundamental concepts of motivation and emotion as it applies to personal and professional life.   History and foundational theories of motivation and emotion are incorporated for comparative perspectives. This course also explores the motivating factors behind biological, psychological, and emotional needs of human nature.",4
Interpersonal Communication and Dynamics,BHVS315,"This course defines two-way communication a critically important capacity for anyone at work. Just as in real estate its ""location, location, location"", in the workplace dealing with people, its ""communication, communication, communication.""  Communication is not just broadcastingâit is sending and receiving a message on the same wavelength. The course focuses on framing clear messages as well as listening with clarity and compassion.  It provides a model for how to engage in authentic and powerful conversations and to facilitate dialogue in a large or small group. Conflict if unaddressed does not go away, it merely goes underground and becomes toxic and destructive to an organization or relationship.  The course addresses conflict and how to air, and resolve it in a civilized manner, without destroying the quality of the human relationship. Negotiation strategies and techniques for achieving win-win solutions will also be presented.",4
Psychology and Mass Media,BHVS316,"This is a relatively new area of study in the field of psychology. It focuses on understanding how psychology and media work together and how people perceive, interpret, use and respond to information and images that come to them from television, radio, movies, texts, and the Internet. So much of our behavior is shaped by messages we receive from mass media, e-learning, cyber networking and digital technologies. This course uses a socio-psychological perspective to understand the dynamics of persuasion and propaganda. It applies selected theories and research on social influence, persuasion, and attitude change to such areas as political and educational campaigns, product advertising, mass media and public opinion.  Students examine how their own behavior is influenced by the cyber-age of popular media and mass communication.",4
Analytical Reasoning and Presentation of Data,BHVS320,"The world is full of numbers.  But, what do the numbers mean? Statistical approaches dominate the field of social scientific inquiry and psychological research.  Not a day goes by that we donât hear a pundit say, ""Research showsâ¦""  This course addresses the fundamental principles of statistics, emphasizing not how to do the quantitative mechanics of it, but rather how to interpret statistical studies and cull the insights for action or decision-making.  This course emphasizes statistical reasoning and when causality can be claimed, as well as how to work with statisticians to set up meaningful inquiry and valid data collection and analysis.  Students practice effective ways to display and present data as well as analytics, in support of research findings including how to use graphs, charts and data representation to formulate a position or hypothesis.",4
The Psychology of Creativity and Ingenuity,BHVS400,"This course presents the psychology of out of the box thinking and coloring outside the lines. As Albert Einstein said, ""you cannot solve problems with the same thinking that created them."" Most of us would say that we were creative as children, but what happened?  This course provides a variety of methods for energizing creativity, as well as providing tools to work with individuals and groups to solve problems with fresh perspectives and limited resources. The psychological concept of re-framing, as well as looking at the same thing as other people and seeing something different, will be the cornerstone of this learning experience.  Students learn to make work engaging, fun and uplifting, re-kindling the child within spirit of creativity we were all born with and harnessing that brain power for practical organization purposes. These are times that call for creativity and ingenuity.",4
Positivist Psychology and Leadership,BHVS410,"There is a new, but powerful wing of psychology called Positivist Psychology.  The course is based on compelling research that people thrive when they feel good self esteem and receive positive encouragement from others around them.  The Pygmalion Effect, or the Power of the Self-Fulfilling Prophecy, teaches us that students are more likely to learn when their teachers believe they can do it, and, similarly, workers are more likely to perform well when their leaders hold out positive expectations of their performance.  This course builds upon the insights of positivist psychology to study the concept of value-based servant leadership, a philosophy and practice defined by Robert Greenleaf which has gained prominence over the end of the last century and the beginning of the 21st.  The philosophy resonates with the popular work of Stephen Covey on the Seven Habits of Highly Effective People and the best-selling business book Good to Great by Jim Collins.  By examining these approaches, students develop their own personal creed or leadership mantra based on the psychology of the positive and the seven key practices of servant leaders.",4
Introduction to Business,BUS115,"This course introduces students to the fundamentals of business and provides a framework for future business courses.  Students explore the basic principles and practices of contemporary business such as basic business types, the impacts of business on society, entrepreneurship, and business career paths.",4
Business Ethics and Leadership,BUS270,"This course introduces the student to concepts of leadership and responsibilities to stakeholders. This course explores a variety of ethical issues in today’s business community. Additionally, this course examines work place code of conduct and issues relating to conflicts of interest. Lastly, this course integrates case study scenarios for student understanding and engagement.",4
Introduction to Business Analytics,BUS330,"This course is an introduction to business analytics with a focus on data, statistical analysis and reporting to help investigate and analyze business performance, provide insights, and drive recommendation to improve performance.",4
Orientation to the Consumer Behavior Profession,CB450,"This course introduces the concentration for consumer behavior. It will begin with defining what is “consumer behavior” and how it’s applied in the field. This course will address consumer behavior theories, concepts, and findings. The course focuses on fundamental marketing strategies, consumer psychology, and economic influences on consumer behavior. Students will have the opportunity to apply quantitative and qualitative research to better understand consumers. Cognitive and emotional skills that are essential to a consumer behavior practitioner are explored.",4
"Marketing Management, Strategy, and Research",CB455,This course examines the development and management of marketing strategies in the field of consumer psychology . Market conditions and research are analyzed to understand the mutual relationships between customers and organizations. This course emphasizes online retailing practices to reach consumers. Opinion research will be explored for gathering consumer behavior data useful in marketing efforts.,4
