"course_code","course_title","department","credits","description"
"ANSC 450","Food Sanitation and Quality Control","Animal Science (ANSC)","3 Units",""
"ANSC 470","Animal Welfare","Animal Science (ANSC)","3 Units",""
"ANSC 471","Advanced Beef Cattle Management and Production","Animal Science (ANSC)","3 Units",""
"ANSC 474","Dairy Production and Management","Animal Science (ANSC)","3 Units",""
"ANSC 489","Internship in Animal Science","Animal Science (ANSC)","1-3 Units",""
"ANSC 498","Special Topics","Animal Science (ANSC)","1-3 Units",""
"ANSC 499","Special Problems","Animal Science (ANSC)","1-3 Units",""
"ANSC 499H","Honors Research in Animal Science","Animal Science (ANSC)","6 Units",""
"ANTH 111","Introduction to Biological Anthropology","Anthropology (ANTH)","4 Units  GE",""
"ANTH 112","Introduction to Archaeology","Anthropology (ANTH)","3 Units  GC, GE",""
"ANTH 113","Human Cultural Diversity","Anthropology (ANTH)","3 Units  GC, GE",""
"ANTH 115","Pop Culture in Museums","Anthropology (ANTH)","3 Units",""
"ANTH 116","Power, Violence, and Inequality","Anthropology (ANTH)","3 Units  GC, GE",""
"ANTH 140","Magic, Witchcraft, and Religion","Anthropology (ANTH)","3 Units  GC, GE",""
"ANTH 150","Anthropology on Screen","Anthropology (ANTH)","3 Units",""
"ANTH 200","Asia Today and Tomorrow","Anthropology (ANTH)","3 Units  GC, GE",""
"ANTH 261","Peoples and Cultures of Native North America","Anthropology (ANTH)","3 Units  GE, USD",""
"ANTH 264","Myths, Frauds, and Misconceptions","Anthropology (ANTH)","3 Units",""
"ANTH 283","Qualitative Research Methods","Anthropology (ANTH)","3 Units",""
"ANTH 298","Special Topics","Anthropology (ANTH)","1-3 Units",""
"ANTH 301","Biological Anthropology","Anthropology (ANTH)","4 Units",""
"ANTH 302","Archaeology","Anthropology (ANTH)","3 Units",""
"ANTH 303","Cultural Anthropology","Anthropology (ANTH)","3 Units",""
"ANTH 304","Language and Culture","Anthropology (ANTH)","3 Units",""
"ANTH 311","Survey of Forensic Science","Anthropology (ANTH)","3 Units",""
"ANTH 312","Cataclysmic Events in Human Prehistory","Anthropology (ANTH)","3 Units",""
"ANTH 333","Nature, Culture, Environment","Anthropology (ANTH)","3 Units  GC, GE",""
"ANTH 338","Travel, Fandoms, and the Tourism Industry","Anthropology (ANTH)","3 Units",""
"ANTH 340","Anthropology of Food","Anthropology (ANTH)","3 Units  GC, GE",""
"ANTH 340W","Anthropology of Food (W)","Anthropology (ANTH)","3 Units  GC, GE, W",""
"ANTH 342","Gems, Guns, and Drugs: International Illicit Economies","Anthropology (ANTH)","3 Units",""
"ANTH 362W","California Indians (W)","Anthropology (ANTH)","3 Units  GE, USD, W",""
"ANTH 376W","Africa: Continuity and Change (W)","Anthropology (ANTH)","3 Units  GC, GE, W",""
"ANTH 377","The Islamic World","Anthropology (ANTH)","3 Units  GC, GE",""
"ANTH 377W","The Islamic World (W)","Anthropology (ANTH)","3 Units  GC, GE, W",""
"ANTH 380","Field Archaeology","Anthropology (ANTH)","4 Units",""
"ANTH 389","Internship in Anthropology","Anthropology (ANTH)","1-3 Units",""
"ANTH 398","Special Topics","Anthropology (ANTH)","1-3 Units",""
"ANTH 399","Special Problems","Anthropology (ANTH)","1-3 Units",""
"ANTH 405","Making the Museum","Anthropology (ANTH)","3 Units",""
"ANTH 410","Forensic Science Methods and Scientific Evidence","Anthropology (ANTH)","3 Units",""
"ANTH 411","Human Origins","Anthropology (ANTH)","3 Units",""
"ANTH 412","Human Variation","Anthropology (ANTH)","3 Units",""
"ANTH 413","Bioarchaeology","Anthropology (ANTH)","3 Units",""
"ANTH 414","Human Growth and Development","Anthropology (ANTH)","3 Units",""
"ANTH 415","Forensic Anthropology","Anthropology (ANTH)","3 Units",""
"ANTH 420","Origins of Early Civilization","Anthropology (ANTH)","3 Units",""
"ANTH 421","Archaeology of North America","Anthropology (ANTH)","3 Units",""
"ANTH 423","Human Behavioral Ecology","Anthropology (ANTH)","3 Units",""
"ANTH 424","California Archaeology","Anthropology (ANTH)","3 Units",""
"ANTH 425","Historical Archaeology","Anthropology (ANTH)","3 Units",""
"ANTH 428","Experimental Archaeology","Anthropology (ANTH)","3 Units",""
"ANTH 432","Religion and Society","Anthropology (ANTH)","3 Units",""
"ANTH 435","Culture, Health, and Healing","Anthropology (ANTH)","3 Units",""
"ANTH 437","Globalization and Human Rights","Anthropology (ANTH)","3 Units",""
"ANTH 443","Visual Anthropology","Anthropology (ANTH)","3 Units",""
"ANTH 461","People, Objects and Collections","Anthropology (ANTH)","3 Units",""
"ANTH 462","Learning and Engagement in Museums","Anthropology (ANTH)","3 Units",""
"ANTH 465","Public Interpretation","Anthropology (ANTH)","3 Units",""
"ANTH 467","Exhibit Research, Design, and Installation","Anthropology (ANTH)","3 Units",""
"ANTH 468","Current Topics in Museum Studies","Anthropology (ANTH)","3 Units",""
"ANTH 478","Zooarchaeology: Vertebrate Identification and Analysis","Anthropology (ANTH)","4 Units",""
"ANTH 480","Advanced Field Archaeology","Anthropology (ANTH)","4 Units",""
"ANTH 481","Human Identification","Anthropology (ANTH)","3 Units",""
"ANTH 482","Laboratory Methods in Archaeology","Anthropology (ANTH)","3 Units",""
"ANTH 483","Field Methods in Ethnography","Anthropology (ANTH)","3 Units",""
"ANTH 484","Archaeological Site Surveying","Anthropology (ANTH)","3 Units",""
"ANTH 485","Formal Methods for Anthropology","Anthropology (ANTH)","3 Units",""
"ANTH 487","Heritage Resource Planning","Anthropology (ANTH)","3 Units",""
"ANTH 489A","Biological Anthropology Internship","Anthropology (ANTH)","1-6 Units",""
"ANTH 489B","Archaeology Internship","Anthropology (ANTH)","1-6 Units",""
"ANTH 489C","Cultural Anthropology Internship","Anthropology (ANTH)","1-6 Units",""
"ANTH 489D","Museum Studies Internship","Anthropology (ANTH)","1-6 Units",""
"ANTH 495","Applied Anthropology","Anthropology (ANTH)","3 Units",""
"ANTH 496HW","Proseminar in the History of Theory and Methods in Anthropology - Honors (W)","Anthropology (ANTH)","3 Units  W, GW",""
"ANTH 496W","Proseminar in the History of Theory and Method in Anthropology (W)","Anthropology (ANTH)","3 Units  W, GW",""
"ANTH 497","Anthropology Forum","Anthropology (ANTH)","1 Unit",""
"ANTH 498","Special Topics","Anthropology (ANTH)","1-3 Units",""
"ANTH 499","Special Problems","Anthropology (ANTH)","2-3 Units",""
"ANTH 499H","Honors in Anthropology","Anthropology (ANTH)","3 Units",""
"ANTH 600","Core Seminar in Anthropology","Anthropology (ANTH)","3 Units",""
"ANTH 601","Seminar in Biological Anthropology","Anthropology (ANTH)","3 Units",""
"ANTH 602","Seminar in Archaeology","Anthropology (ANTH)","3 Units",""
"ANTH 603","Seminar in Cultural Anthropology","Anthropology (ANTH)","3 Units",""
"ANTH 605","Seminar in Museum Studies","Anthropology (ANTH)","3 Units",""
"ANTH 610A","Professionalism in Biological Anthropology","Anthropology (ANTH)","3 Units",""
"ANTH 610B","Professionalism in Archaeology","Anthropology (ANTH)","3 Units",""
"ANTH 610C","Professionalism in Cultural Anthropology","Anthropology (ANTH)","3 Units",""
"ANTH 610D","Professionalism in Museum Studies","Anthropology (ANTH)","3 Units",""
"ANTH 689","Internship in Anthropology","Anthropology (ANTH)","3 Units",""
"ANTH 689A","Internship Exhibit Research and Design","Anthropology (ANTH)","3 Units",""
"ANTH 689B","Internship in Museum Management","Anthropology (ANTH)","3 Units",""
"ANTH 689C","Internship in Curatorial Practices","Anthropology (ANTH)","3 Units",""
"ANTH 689D","Internship in Museum Education","Anthropology (ANTH)","3 Units",""
"ANTH 689E","Internship in Museum Conservation","Anthropology (ANTH)","3 Units",""
"ANTH 696","Candidacy Exam","Anthropology (ANTH)","1 Unit",""
"ANTH 697","Independent Study","Anthropology (ANTH)","1-3 Units",""
"ANTH 699P","Master's Project","Anthropology (ANTH)","1-3 Units",""
"ANTH 699T","Master's Thesis","Anthropology (ANTH)","1-3 Units",""
"ARAB 101A","Beginning Arabic I","Arabic (ARAB)","4 Units  GC, GE",""
"ARAB 102A","Beginning Arabic II","Arabic (ARAB)","4 Units  GC, GE",""
"ARAB 199","Special Problems","Arabic (ARAB)","1-3 Units",""
"ARAB 201","Intermediate Arabic I","Arabic (ARAB)","4 Units  GC, GE",""
"ARAB 202","Intermediate Arabic II","Arabic (ARAB)","4 Units  GC, GE",""
"ARAB 299","Special Problems","Arabic (ARAB)","1-3 Units",""
"ARAB 389","Internship in Arabic","Arabic (ARAB)","1-3 Units",""
"ARAB 399","Special Problems","Arabic (ARAB)","1-3 Units",""
"ARAB 489","Internship","Arabic (ARAB)","1-3 Units",""
"ARAB 697","Independent Study","Arabic (ARAB)","1-3 Units",""
"ARTS 122","2D Design","Art (ARTS)","3 Units",""
"ARTS 123","3D Design","Art (ARTS)","3 Units",""
"ARTS 125","Basic Drawing","Art (ARTS)","3 Units",""
"ARTS 126","Basic Life Drawing","Art (ARTS)","3 Units",""
"ARTS 195","Introduction to Theory and Practice","Art (ARTS)","3 Units",""
