"course_code","course_title","department","credits","description"
"ARED 609","MULTICULTURAL ART EDUCATION","Art Education (ARED)","3",""
"ARED 610","THEORY AND PRACTICE OF ART THERAPY","Art Education (ARED)","3",""
"ARED 611","HOLISTIC ART EDUCATION","Art Education (ARED)","3",""
"ARED 622","HISTORICAL PERSPECTIVES AND CONTEMPORARY ISSUES IN ART EDUCATION","Art Education (ARED)","3",""
"ARED 664","AUTHOR ILLUSTRATOR STUDIES: INTEGRATION OF VISUAL AND LANGUAGE ARTS AT THE SECONDARY LEVEL","Art Education (ARED)","3",""
"ARED 675","STRATEGIES FOR TEACHING AND ASSESSING ART: PREK-12","Art Education (ARED)","3",""
"ARED 797","SEMINAR IN ART EDUCATION","Art Education (ARED)","3",""
"ARED 880","ART EDUCATION RESEARCH PROJECT","Art Education (ARED)","3",""
"ARED 881","ART EDUCATION RESEARCH CAPSTONE","Art Education (ARED)","3",""
"ARED 885","ART EDUCATION RESEARCH CAPSTONE CONTINUUM","Art Education (ARED)","1",""
"ARTH 500","STUDY ABROAD","Art History (ARTH)","1-6",""
"ARTH 501","INTRODUCTION TO MUSEUM STUDIES","Art History (ARTH)","3",""
"ARTH 502","MUSEUM AND COMMUNITY","Art History (ARTH)","3",""
"ARTH 554","NATIVE AMERICAN ART HISTORY","Art History (ARTH)","3",""
"ARTH 570","SPECIAL TOPICS: ART HISTORY","Art History (ARTH)","3",""
"ARTH 585","SEMINAR IN ART HISTORY","Art History (ARTH)","3",""
"ARTH 591","RESEARCH METHODS IN ART HISTORY","Art History (ARTH)","3",""
"ARTH 595","INDEPENDENT STUDY IN ART HISTORY","Art History (ARTH)","3",""
"ARTH 596","INDEPENDENT STUDY IN ART HISTORY","Art History (ARTH)","3",""
"ARTH 597","INDEPENDENT STUDY IN ART HISTORY","Art History (ARTH)","3",""
"ARTH 600","STUDY ABROAD","Art History (ARTH)","1-6",""
"ARTH 603","CARE AND HANDLING OF OBJECTS","Art History (ARTH)","3",""
"ARTH 604","MUSEUM EDUCATION","Art History (ARTH)","3",""
"ARTH 605","EXHIBITION DESIGN HISTORY AND THEORY","Art History (ARTH)","3",""
"ARTH 606","MUSEUM MANAGEMENT","Art History (ARTH)","3",""
"ARTH 607","COLLECTIONS MANAGEMENT","Art History (ARTH)","3",""
"ARTH 608","CURATORIAL VISION AND PLANNING","Art History (ARTH)","3",""
"ARTH 609","ISSUES IN MARKETING AND PUBLIC RELATIONS FOR CULTURAL INSTITUTIONS","Art History (ARTH)","3",""
"ARTH 610","DEVELOPMENT AND GRANT WRITING FOR CULTURAL INSTITUTIONS","Art History (ARTH)","3",""
"ARTH 611","COMMUNITY PROGRAMMING IN THE ARTS","Art History (ARTH)","3",""
"ARTH 681","SEMINAR IN ART HISTORY","Art History (ARTH)","3",""
"ARTH 695","INDEPENDENT STUDY IN ART HISTORY","Art History (ARTH)","3",""
"ARTH 698","MUSEUM STUDIES INTERNSHIP","Art History (ARTH)","3",""
"ARTH 770","SPECIAL TOPICS: ART HISTORY","Art History (ARTH)","3",""
"ARTH 790","CURATORIAL ISSUES IN CONTEMPORARY ART","Art History (ARTH)","3",""
"ARTH 795","DIRECTED READINGS IN ART HISTORY","Art History (ARTH)","3",""
"ASTR 503","ASTROPHYSICAL TECHNIQUES","Astronomy (ASTR)","3",""
"ASTR 632","GALAXIES AND COSMOLOGY","Astronomy (ASTR)","3",""
"ASTR 652","HIGH ENERGY ASTROPHYSICS","Astronomy (ASTR)","3",""
"ATTR 560","FUNDAMENTAL CONCEPTS AND COMPETENCIES IN ATHLETIC TRAINING","Athletic Training (ATTR)","3",""
"ATTR 565","HEALTH INFORMATICS AND QUALITY IMPROVEMENT","Athletic Training (ATTR)","3",""
"ATTR 602","PRACTICUM I: CLINICAL APPLICATION OF ATHLETIC TRAINING COMPETENCIES","Athletic Training (ATTR)","3",""
"ATTR 604","PRACTICUM II: CLINICAL CARE OF THE LOWER EXTREMITY","Athletic Training (ATTR)","3",""
"ATTR 606","PRACTICUM III: CLINICAL CARE OF THE UPPER EXTREMITY","Athletic Training (ATTR)","3",""
"ATTR 615","ACUTE AND TRAUMATIC INJURY: ASSESSMENT AND MANAGEMENT","Athletic Training (ATTR)","3",""
"ATTR 622","ACUTE AND REHABILITATIVE CARE: THERAPEUTIC  MODALITIES","Athletic Training (ATTR)","3",""
