Course Code,Course Name,Credits,Level
ARTCR 62752,Advanced Graphic Arts 3,3,Graduate
URBP 7872G,Advanced Graphic Communications,3,Graduate
ARTCR 62753,Advanced Graphic Tutor 3,3,Graduate
ARTCR 62652,Advanced Graphic Tutorial 2,3,Graduate
ARTCR 62653,Advanced Graphic Tutorial 2,3,Graduate
ARTCR 62651,Advanced Graphic Tutorial 2,3,Graduate
ARTCR 62553,Advanced Graphics Tutor 1,3,Graduate
ARTCR 62552,Advanced Graphics Tutorial 1,3,Graduate
ARTCR 62551,Advanced Graphics Tutorial 1,3,Graduate
NURS 75100,Advanced Health Assessment,3,Graduate
PH 77049,Advanced Health Economics,3,Graduate
IMA 76300,Advanced Interactive Expression,3,Graduate
URBG 78716,Advanced Investigative Video Reporting-Child Welfare,3,Graduate
IMA 78058,Advanced Investigative Video Reporting-Child Welfare,3,Graduate
MUS 74300,Advanced Jazz Harmony and Arranging,3,Graduate
BIOCH 71203,Advanced Laboratory Techniques for Research in Biochemistry,3,Graduate
BIOCH 71204,Advanced Laboratory Techniques for Research in Biochemistry,4,Graduate
BIOCH 71203,Advanced Laboratory Techniques for Research in Biochemistry,3,Graduate
BIOCH 71201,Advanced Laboratory Techniques for Research in Biochemistry,1,Graduate
STAT 74200,Advanced Machine Learning,3,Graduate
STAT 72556,"Advanced Machine Learning, Deep Learning, NLP & Graphical Models",3,Graduate
ECO 77400,Advanced Managerial Accounting,3,Graduate
ACC 77400,Advanced Managerial Accounting,3,Graduate
EDESL 74900,Advanced Methods and Assessment in TESOL,3,Graduate
PH 77040,Advanced Methods Epidemiology,3,Graduate
CEDC 73900,"Advanced Methods in Elementary School: Mathematics, Science and Social Studies",3,Graduate
CEDC 71200,Advanced Methods of Teaching Math in Elementary Schools,3,Graduate
NURS 74700,Advanced Neuroanatomy and Neurophysiology of Brain and Psychiatric Mental Health And Illness.,1,Graduate
MATH 78700,"Advanced Numerical Analysis, Finite Elements",3,Graduate
MATH 79556,Advanced Numerical Methods Ii,3,Graduate
MATH 78500,Advanced Numerical Methods: Finite Differences and Collocation,3,Graduate
