Course Code,Course Name,Credits,Level
GERMN 31002,Adv Std Grmn Lang 2,3,Undergraduate
POL 26060,Adv Survey Polish Language,3,Undergraduate
ASIAN 33000,Adv Topics:Asian Amer Society,3,Undergraduate
DAN 25261,Adv Trad Modern Dance Tech,2,Undergraduate
DAN 25260,Adv Trad Modern Dance Tech,2,Undergraduate
ENGL 48469,Adv Workshop in Poetry Writing,3,Undergraduate
GERMN 30150,Advance German Grammar,1,Undergraduate
ENGL 31987,Advance Topics in Women Gender U.S. Literature,3,Undergraduate
WGSA 31987,Advance Topics in Women Gender U.S. Literature,3,Undergraduate
ASIAN 32000,Advance Topics: Literature Asian,3,Undergraduate
PSYCH 33300,Advanced Social Psychology Theory and Methods,3,Undergraduate
ARTCR 36013,Advanced 2-D Studsem,3,Undergraduate
ACCP 47000,Advanced Accounting,4,Undergraduate
ECO 47200,Advanced Accounting 2,3,Undergraduate
ACCP 47100,Advanced Accounting I,3,Undergraduate
ECO 47100,Advanced Accounting I,3,Undergraduate
ACCP 47200,Advanced Accounting II,3,Undergraduate
ECO 47700,Advanced Accounting Problems,3,Undergraduate
THEA 39728,Advanced Acting Workshop,3,Undergraduate
CSCI 49900,Advanced Applications: A Capstone for Majors,4,Undergraduate
ARB 30100,Advanced Arabic I,3,Undergraduate
ARB 30200,Advanced Arabic II,3,Undergraduate
STAT 35100,Advanced Biometrics,3,Undergraduate
GERMN 38502,Advanced Business German,3,Undergraduate
ARTCR 35700,Advanced Ceramics,3,Undergraduate
URBS 40397,Advanced Comm Organizing,3,Undergraduate
SW 46000,Advanced Community Organizing Theory and Practice,3,Undergraduate
ARTCR 36057,Advanced Computer Graphic,3,Undergraduate
THEA 39761,Advanced Costuming,3,Undergraduate
MUSTH 46150,Advanced Counterpoint and Fugue,3,Undergraduate
THEA 39716,Advanced Design for the Stage,3,Undergraduate
ARTCR 38100,Advanced Design in Light and Motion,3,Undergraduate
ARTCR 36068,Advanced Digital Art,3,Undergraduate
CSCI 39562,Advanced Discrete Structures,3,Undergraduate
CSCI 39562,Advanced Discrete Structures,3,Undergraduate
MEDP 31200,Advanced Documentary Digital Editing,3,Undergraduate
CHIN 40107,Advanced Domain Studies in Chinese,3,Undergraduate
ARTCR 32200,Advanced Drawing,3,Undergraduate
ARTCR 322HS,Advanced Drawing,3,Undergraduate
ARTCR 36058,Advanced Drawing: Pastels,3,Undergraduate
ENGL 21800,Advanced Expository Writing,3,Undergraduate
ARTCR 30700,Advanced Fiber Structure,3,Undergraduate
ENGL 48485,Advanced Fiction Work,3,Undergraduate
SOC 33200,Advanced Field Placement in Social Work Agencies,3,Undergraduate
FREN 22000,Advanced French Conversation,3,Undergraduate
FREN 31100,Advanced French Grammar,3,Undergraduate
MEDIA 39922,Advanced Gender and Media,3,Undergraduate
WGS 3001N,Advanced Gender and Media,3,Undergraduate
GERMN 30100,Advanced German Comprehension and Conversation,3,Undergraduate
GERMN 30200,Advanced German Conversation and Composition,3,Undergraduate
GERMN 31000,Advanced German Language Studies,3,Undergraduate
GERMN 38504,Advanced German Language Through Translation,3,Undergraduate
GERMN 21100,Advanced German Reading,3,Undergraduate
URBS 4032C,Advanced Graphic Communications,3,Undergraduate
GTECH 32200,Advanced Image Interpretation,3,Undergraduate
ARB 42103,Advanced Independent Study,3,Undergraduate
ARB 42101,Advanced Independent Study,1,Undergraduate
ARB 42102,Advanced Independent Study,2,Undergraduate
CSCI 39563,Advanced Infomation Technology,3,Undergraduate
ITAL 31200,Advanced Italian Composition,3,Undergraduate
ITAL 31100,Advanced Italian Grammar,3,Undergraduate
JPN 30100,Advanced Japanese 1,3,Undergraduate
JPN 30200,Advanced Japanese 2,3,Undergraduate
CLA 34056,Advanced Japanese 2,3,Undergraduate
JPN 30403,Advanced Japanese 3,3,Undergraduate
JPN 35100,Advanced Japanese Conversation,3,Undergraduate
CLA 34055,Advanced Japanese I,3,Undergraduate
MUSPF 36252,Advanced Jazz Workshop,2,Undergraduate
BIOL 44000,Advanced Lab in Microbiology,2,Undergraduate
ENGL 49418,Advanced Literary Theory,3,Undergraduate
THEA 39757,Advanced Make-Up,3,Undergraduate
ECO 49550,Advanced Micro Theory,3,Undergraduate
ECO 49573,Advanced Microeconomics Theory,3,Undergraduate
ECO 49574,Advanced Microeconomics Theory,3,Undergraduate
CSCI 39596,Advanced Networks and Cloud,3,Undergraduate
ARTCR 39000,Advanced New Genres,3,Undergraduate
NFS 34100,Advanced Nutrition,3,Undergraduate
NFS 44400,Advanced Nutrition 2,3,Undergraduate
NFS 44500,Advanced Nutrition Laboratory 2,1,Undergraduate
GEOL 38000,Advanced Oceanography: Physics of the Oceans,3,Undergraduate
ANTHP 40182,Advanced Osteology,3,Undergraduate
ARTCR 33600,Advanced Painting,3,Undergraduate
ARTCR 36066,Advanced Painting Seminar,3,Undergraduate
ARTCR 36067,Advanced Photo Darkroom Process,3,Undergraduate
ARTCR 37200,Advanced Photography,3,Undergraduate
ARTCR 37000,Advanced Photography,3,Undergraduate
BIOL 49900,Advanced Physiology,3,Undergraduate
BIOL 21100,Advanced Physiology Lab,1.5,Undergraduate
THEA 39763,Advanced Playwriting,3,Undergraduate
POL 30100,Advanced Polish 1,3,Undergraduate
POL 30200,Advanced Polish 2,3,Undergraduate
DAN 35261,Advanced Post Modern Dance Technique,2,Undergraduate
