"course_code","course_title","department","credits","description"
"SPSY 77972","SOCIAL-EMOTIONAL ASSESSMENT FOR SCHOOL PSYCHOLOGISTS","School Psychology (SPSY)","3 Credit Hours","Training in administration, scoring and interpretation of techniques for assessment of social, emotional functioning and adaptive behavior and writing evaluation team reports. 25 clinical/field hours. Students are required to complete Bureau of Criminal Investigation and Identification (BCII) and Federal Bureau of Investigation (FBI) background checks and submit the results to authorized personnel at their assigned ""school/agency"" before the first day of the semester in which student teaching/ internship will take place.Prerequisite:Doctoral standing.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"SPSY 77973","CONSULTATION IN THE HELPING PROFESSIONS","School Psychology (SPSY)","3 Credit Hours","Students learn consultation skills and processes utilizing a number of professional models such as Caplan's model, behavior and problem-solving models and crisis consultation. 20 clinical/field hours. Students are required to complete Bureau of Criminal Investigation and Identification (BCII) and Federal Bureau of Investigation (FBI) background checks and submit the results to authorized personnel at their assigned ""school/agency"" before the first day of the semester in which student teaching/ internship will take place.Prerequisite:Doctoral standing.Schedule Type:Combined Lecture and LabContact Hours:3 otherGrade Mode:Standard Letter"
"SPSY 77974","SOCIAL-EMOTIONAL INTERVENTIONS IN SCHOOL PSYCHOLOGY","School Psychology (SPSY)","3 Credit Hours","Describes design and implementation of social-emotional interventions for childhood disorders. Reviews progress monitoring for school-based social and emotional referrals within an eco- behavioral problem-solving model. 25 clinical/field hours.Prerequisite:SPSY 77972; and doctoral standing.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"SPSY 77975","HOME, SCHOOL AND COMMUNITY COLLABORATION","School Psychology (SPSY)","3 Credit Hours","(Slashed withSPSY 67975) This course is designed to familiarize school psychologists with essential attitudes, approaches, and actions necessary to form successful family-school-community partnerships that can foster development and learning.Prerequisite:School psychology major; and doctoral standing.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"SPSY 77980","INTEGRATING EXPERIENCE IN SCHOOL PSYCHOLOGY","School Psychology (SPSY)","2 Credit Hours","This course requires student to research, study and develop expertise in a particular facet of school psychology and to present these findings at the conclusion of his her training program. Restricted to students in school psychology Ed.S. program. 38 clinical field hours.Prerequisite:Doctoral standing; and special approval.Schedule Type:LectureContact Hours:2 lectureGrade Mode:Satisfactory/Unsatisfactory"
"SPSY 77992","SPECIALIST INTERNSHIP IN SCHOOL PSYCHOLOGY","School Psychology (SPSY)","1-6 Credit Hours","(Repeatable for credit) The internship experience provides students with the opportunity to develop and practice the professional roles and functions of a school psychologist in an approved school setting. Students complete one academic year of internship in schools (minimum of 1,200 clock hours) under the supervision of a university supervisor and a certified school psychologist who is employed by a school system. Students are required to complete Bureau of Criminal Investigation and Identification (BCII) and Federal Bureau of Investigation (FBI) background checks and submit the results to authorized personnel at their assigned ""school-agency"" before the first day of the semester in which student teaching internship will take place.Prerequisite:School psychology major; and graduate standing; and guest students with permission.Schedule Type:Practical ExperienceContact Hours:7-40 otherGrade Mode:Satisfactory/Unsatisfactory-IP"
"SPSY 77995","SPECIAL TOPICS IN SCHOOL PSYCHOLOGY","School Psychology (SPSY)","1-3 Credit Hours","(Repeatable for credit)Presentations of special interest to students. Offered irregularly. Topics will be announced in schedule of classes booklet.Prerequisite:Doctoral standing; and special approval.Schedule Type:LectureContact Hours:1-3 lectureGrade Mode:Standard Letter"
"SPSY 77996","INDIVIDUAL INVESTIGATION IN SCHOOL PSYCHOLOGY","School Psychology (SPSY)","1-3 Credit Hours","(Repeatable for credit)Independent reading and/or research directed by a graduate faculty member.Prerequisite:Doctoral standing.Schedule Type:Individual InvestigationContact Hours:3 otherGrade Mode:Satisfactory/Unsatisfactory-IP"
"SPSY 77998","INDIVIDUAL RESEARCH IN SCHOOL PSYCHOLOGY","School Psychology (SPSY)","1-9 Credit Hours","(Repeatable for credit)Student pursues research project on selected aspect of school psychology under supervision of instructor. Arrangements with instructor must be made prior to registration.Prerequisite:Doctoral standing; and special approval.Schedule Type:ResearchContact Hours:1-9 otherGrade Mode:Satisfactory/Unsatisfactory-IP"
"SPSY 80090","DOCTORAL RESIDENCY SEMINAR","School Psychology (SPSY)","3 Credit Hours","Exploration of philosophical, definitional and attitudinal issues in the helping professions. Involvement in current activities of professional life through collaborative work with professors other students and practitioners.Prerequisite:Doctoral standing.Schedule Type:SeminarContact Hours:3 otherGrade Mode:Standard Letter"
